"MaterialType","Materials_Details_EN","Notes"
"土器付着物,焦,胴内下","from pottery residue inside fabric?",""
"土器付着物,焦,胴内下中","from pottery residue inside fabric?",""
"土器付着物,焦,胴内下部","from pottery residue inside fabric? lower",""
"土器付着物,焦,胴内中","from pottery residue inside fabric?",""
"土器付着物,焦,胴内部外面","from pottery exterior residue inside fabric? outer neck",""
"土器付着物,焦,胴内面","from pottery interior residue inside fabric?",""
"土器付着物,焦,胴外","from pottery residue outside",""
"土器付着物,焦,胴外，胴内","from pottery residue inside fabric? outside",""
"土器付着物,焦,胴外上","from pottery residue outside",""
"土器付着物,焦,胴外下","from pottery residue outside",""
"土器付着物,焦,胴部内","from pottery residue body",""
"土器付着物,焦,胴部内面","from pottery interior residue body",""
"土器付着物,焦,胴部内面中部","from pottery interior residue body",""
"土器付着物,焦,胴部外","from pottery residue body outer neck",""
"土器付着物,焦,脚底部内面","from pottery interior residue bottom",""
"土器付着物,焦,蓋内","from pottery residue",""
"土器付着物,焦,頸内","from pottery residue",""
"土器付着物,焦：米粒,胴内","grain from pottery residue inside fabric? rice (Oryza sativa)",""
"土器付着物,焦：米粒痕,胴内","grain from pottery residue inside fabric? rice (Oryza sativa)",""
"土器付着物,焦（アスファルト？）,胴内","from pottery residue inside fabric? bitumen?",""
"土器付着物,焦（アワ状）,胴内","from pottery residue inside fabric? millet-shape foxtail millet (Setaria italica)",""
"土器付着物,煮焦げ,坏部内面","from pottery interior residue",""
"土器付着物,煮焦げ,底部内面","from pottery interior residue bottom",""
"土器付着物,煮焦げ,胴内面","from pottery interior residue inside fabric?",""
"土器付着物,煮焦げ,胴部内面（胴下位内面）","from pottery interior residue body lower",""
"土器付着物,煮焦げ,脚部内面","from pottery interior residue",""
"土器付着物,煤,","from pottery soot residue",""
"土器付着物,煤,口～胴外面","from pottery soot exterior residue outside",""
"土器付着物,煤,口内","from pottery soot residue inside rim",""
"土器付着物,煤,口外","from pottery soot residue outside rim",""
"土器付着物,煤,口縁内","from pottery soot rim residue inside of",""
"土器付着物,煤,口縁内面","from pottery soot rim interior residue inside of",""
"土器付着物,煤,口縁外","from pottery soot rim outside edge residue",""
"土器付着物,煤,口縁外・胴外","from pottery soot rim outside edge residue outside",""
"土器付着物,煤,口縁外・胴外上","from pottery soot rim outside edge residue outside",""
"土器付着物,煤,口縁外・胴外下","from pottery soot rim outside edge residue outside",""
"土器付着物,煤,口縁外，胴内","from pottery soot rim outside edge residue inside fabric?",""
"土器付着物,煤,口縁外面","from pottery soot rim exterior outside edge residue",""
"土器付着物,煤,口縁部・外面","from pottery soot rim exterior residue",""
"土器付着物,煤,口縁部～胴部上位・外面","from pottery soot rim exterior residue body upper",""
"土器付着物,煤,口縁部外面","from pottery soot rim exterior residue outer neck",""
"土器付着物,煤，吹,口縁外・胴外","from pottery soot rim outside edge residue outside",""
"土器付着物,煤，吹,口縁外,胴外中","from pottery soot rim outside edge residue outside",""
"土器付着物,煤,坏","from pottery soot residue",""
"土器付着物,煤,屈曲部外面","from pottery soot exterior residue outer neck",""
"土器付着物,煤,底部下位・外面","from pottery soot exterior residue bottom lower",""
"土器付着物,煤,底部内面","from pottery soot interior residue bottom",""
"土器付着物,煤,底部外面","from pottery soot exterior residue bottom outer neck",""
"土器付着物,煤,胴上位・外面","from pottery soot exterior residue upper",""
"土器付着物,煤,胴下半外面","from pottery soot exterior residue",""
"土器付着物,煤,胴下部外面","from pottery soot exterior residue lower outer neck",""
"土器付着物,煤,胴内上","from pottery soot residue inside fabric?",""
"土器付着物,煤,胴外","from pottery soot residue outside",""
"土器付着物,煤,胴外，底部外面","from pottery soot exterior residue outside bottom outer neck",""
"土器付着物,煤,胴外（頸）","from pottery soot residue outside",""
"土器付着物,煤,胴外上","from pottery soot residue outside",""
"土器付着物,煤,胴外下","from pottery soot residue outside",""
"土器付着物,煤,胴外中","from pottery soot residue outside",""
"土器付着物,煤,胴外中上","from pottery soot residue outside",""
"土器付着物,煤,胴外面","from pottery soot exterior residue outside",""
"土器付着物,煤,胴部上位〜中位・外面","from pottery soot exterior residue body upper",""
"土器付着物,煤,胴部上位・外面","from pottery soot exterior residue body upper",""
"土器付着物,煤,胴部上位外面","from pottery soot exterior residue body upper",""
"土器付着物,煤,胴部上位外面（胴上外）","from pottery soot exterior residue body upper",""
"土器付着物,煤,胴部下位・外面","from pottery soot exterior residue body lower",""
"土器付着物,煤,胴部下位外面","from pottery soot exterior residue body lower",""
"土器付着物,煤,胴部中位・外面","from pottery soot exterior residue body",""
"土器付着物,煤,胴部中位外面","from pottery soot exterior residue body",""
"土器付着物,煤,胴部内面","from pottery soot interior residue body",""
"土器付着物,煤,胴部最大径・外面","from pottery soot exterior residue body",""
"土器付着物,煤,胴部外","from pottery soot residue body outer neck",""
"土器付着物,煤,胴部外面","from pottery soot exterior residue body outer neck",""
"土器付着物,煤,胴部外面破片","from pottery soot exterior residue body outer neck",""
"土器付着物,煤,胴部破片","from pottery soot residue body",""
"土器付着物,煤,胴部破片・外面","from pottery soot exterior residue body",""
"土器付着物,煤,頚外","from pottery soot residue",""
"土器付着物,煤,頚部外面","from pottery soot exterior residue outer neck",""
"土器付着物,煤,頸外","from pottery soot residue",""
"土器付着物,煤,頸外面","from pottery soot exterior residue",""
"土器付着物,煤,頸部・外面","from pottery soot exterior residue",""
"土器付着物,煤,頸部外","from pottery soot residue outer neck",""
"土器付着物,煤,頸部外面","from pottery soot exterior residue outer neck",""
"土器付着物,煤?,口縁内","from pottery soot rim residue inside of",""
"土器付着物,煤?,口縁外","from pottery soot rim outside edge residue",""
"土器付着物,煤?,口縁外下","from pottery soot rim outside edge residue",""
"土器付着物,煤?,胴外","from pottery soot residue outside",""
"土器付着物,煤?,胴外上","from pottery soot residue outside",""
"土器付着物,煤?,胴外下","from pottery soot residue outside",""
"土器付着物,煤（アスファルト？）,胴外","from pottery soot residue outside bitumen?",""
"土器付着物,煤（漆？）,口縁外・胴外","from pottery soot rim outside edge residue outside",""
"土器付着物,煤状,胴外","from pottery soot residue outside",""
"土器付着物,煤状,胴部中位外面","from pottery soot exterior residue body",""
"土器付着物,胎土食込炭化物,内面","carbonized from pottery material interior residue",""
"土器付着物,胴・内面","from pottery interior residue",""
"土器付着物,胴上外","from pottery residue",""
"土器付着物,胴内","from pottery residue inside fabric?",""
"土器付着物,胴内上","from pottery residue inside fabric?",""
"土器付着物,胴内面","from pottery interior residue inside fabric?",""
"土器付着物,胴外","from pottery residue outside",""
"土器付着物,胴外，胴内","from pottery residue inside fabric? outside",""
"土器付着物,胴外上","from pottery residue outside",""
"土器付着物,胴外下","from pottery residue outside",""
"土器付着物,胴外中～下","from pottery residue outside",""
"土器付着物,胴部上位","from pottery residue body upper",""
"土器付着物,胴部上位・内面","from pottery interior residue body upper",""
"土器付着物,胴部上位・外面","from pottery exterior residue body upper",""
"土器付着物,胴部上位外面","from pottery exterior residue body upper",""
"土器付着物,胴部下位・内面","from pottery interior residue body lower",""
"土器付着物,胴部下位・外面","from pottery exterior residue body lower",""
"土器付着物,胴部下位内面","from pottery interior residue body lower",""
"土器付着物,胴部下位外面","from pottery exterior residue body lower",""
"土器付着物,胴部下半下外面（胴中外）","from pottery exterior residue body",""
"土器付着物,胴部中位・内面","from pottery interior residue body",""
"土器付着物,胴部中位・外面","from pottery exterior residue body",""
"土器付着物,胴部内面","from pottery interior residue body",""
"土器付着物,胴部最大径部・外面","from pottery exterior residue body",""
"土器付着物,胴部外面","from pottery exterior residue body outer neck",""
"土器付着物,胴部外面より採取","from pottery exterior residue body outer neck",""
"土器付着物,胴部突帯下","from pottery residue body",""
"土器付着物,膜状,胴部中位外面","from pottery exterior residue body",""
"土器付着物,頚外","from pottery residue",""
"土器付着物,頸外","from pottery residue",""
"土器付着物,頸部","from pottery residue",""
"土器付着物,頸部外面","from pottery exterior residue outer neck",""
"土器付着物,鱗茎状,底部内面","bulb stem from pottery fruit scale interior residue bottom",""
"土器付着物(アスファルト?)","from pottery residue bitumen?",""
"土器付着物(お焦げ)","from pottery residue",""
"土器付着物（内面口縁）","from pottery rim interior residue",""
"土器付着物（内面口縁～胴上半）","from pottery rim interior residue",""
"土器付着物（内面口縁部）","from pottery rim interior residue",""
"土器付着物（内面胴下半）","from pottery interior residue",""
"土器付着物（口縁内）","from pottery rim residue inside of, earthenware depoits",""
"土器付着物（口縁外・胴外）","from pottery rim outside edge residue outside, earthenware depoits",""
"土器付着物（口縁外）","from pottery rim outside edge residue, earthenware depoits",""
"土器付着物（口縁外面）","from pottery rim exterior outside edge residue, earthenware depoits",""
"土器付着物（口縁部外側）甕","from pottery rim residue outer neck, earthenware depoits",""
"土器付着物（外面口縁）","from pottery rim exterior residue",""
"土器付着物（外面口縁部）","from pottery rim exterior residue",""
"土器付着物（外面胴下半）","from pottery exterior residue",""
"土器付着物（外面頸部）","from pottery exterior residue",""
"土器付着物（外面頸部～胴上半）","from pottery exterior residue",""
"土器付着物（底部内面）","from pottery interior residue bottom, earthenware depoits",""
"土器付着物（浅鉢頸部外側）","from pottery residue outer neck, earthenware depoits",""
"土器付着物（深鉢口縁内）","from pottery rim residue inside of",""
"土器付着物(漆塗膜)","from pottery residue",""
"土器付着物（焦・口縁内）","from pottery rim residue inside of",""
"土器付着物（焦・甕胴内面）","from pottery interior residue inside fabric?, burnt deposits",""
"土器付着物（煤・甕胴外）","from pottery soot residue outside, soot",""
"土器付着物（煤・甕胴外面）","from pottery soot exterior residue outside, soot",""
"土器付着物（煤類）","from pottery soot residue",""
"土器付着物（煤類）壺","from pottery soot residue, soot",""
"土器付着物（煤類）焼石付着","from pottery soot residue, soot",""
"土器付着物（胴内）","from pottery residue inside fabric?, earthenware depoits",""
"土器付着物（胴内下）","from pottery residue inside fabric?, earthenware depoits",""
"土器付着物（胴内下面）","from pottery residue inside fabric?, earthenware depoits",""
"土器付着物（胴内面）","from pottery interior residue inside fabric?, earthenware depoits",""
"土器付着物（胴外）","from pottery residue outside, earthenware depoits",""
"土器付着物（胴外上面）","from pottery residue outside, earthenware depoits",""
"土器付着物（胴外面）","from pottery exterior residue outside, earthenware depoits",""
"土器付着物（胴部内）","from pottery residue body, earthenware depoits",""
"土器付着物（胴部外面）","from pottery exterior residue body outer neck, earthenware depoits",""
"土器付着物吹口縁外・胴外","from pottery rim outside edge residue outside",""
"土器付着物吹胴外","from pottery residue outside",""
"土器付着物焦口縁内","from pottery rim residue inside of",""
"土器付着物焦底部内面","from pottery interior residue bottom",""
"土器付着物焦胴内","from pottery residue inside fabric?",""
"土器付着物焦胴内，底部内面","from pottery interior residue inside fabric? bottom",""
"土器付着物焦胴内下","from pottery residue inside fabric?",""
"土器付着物煤口縁外","from pottery soot rim outside edge residue",""
"土器付着物煤胴外","from pottery soot residue outside",""
"土器付着食物残渣",,"Needs translation"
"土器内付着炭化物","carbonized from pottery material residue",""
"土器内面付着炭化物","carbonized from pottery material interior residue",""
"土器内面付着物","from pottery interior residue",""
"土器内面付着物（内容物）","from pottery interior residue, deposits",""
"土器内面付着物（口縁部）","from pottery rim interior residue",""
"土器内面付着物（口縁部下部）","from pottery rim interior residue lower",""
"土器口縁内面に付着","from pottery rim interior residue inside of",""
"土器外面付着炭化物","carbonized from pottery material exterior residue",""
"土器外面付着煤（土師器甕）","from pottery soot exterior residue, soot",""
"土器片付着炭化物",,"Needs translation"
"土壌","soil",""
"土壌 灰･炭(フミン)","soil",""
"土壌 灰･炭(フミン酸)","soil",""
"土壌・炭化物","carbonized soil material",""
"土壌?",,"Needs translation"
"土壌(Humin)","soil",""
"土壌（ヒューミン）","soil humin, soil",""
"土壌(ヒューミンを抽出)","soil sample humin",""
"土壌（土壌有機物：フミン）","Soil (soil organic matter: humic acid), soil",""
"土壌(地山)","soil ground",""
"土壌（暗灰色シルト）","soil silt, soil",""
"土壌(暗褐色砂混じり粘土質)","soil clay sand",""
"土壌(暗青灰色土)","soil",""
"土壌(暗黒色土)","soil black soil",""
"土壌（有機質シルト、砂混じり）","soil organic matter silt sand, soil",""
"土壌（有機質シルト）","soil organic matter silt, soil",""
"土壌(有機質粘土)","soil organic matter clay",""
"土壌（有機質粘土）","soil organic matter clay, soil organic matter",""
"土壌(未分解草本質泥炭)","soil peat herbaceous plants",""
"土壌(炭化物混)","carbonized soil material",""
"土壌(炭化物混じりの粘土)","carbonized soil material clay",""
"土壌(炭化物混じりの粘土)･炭化材(スダジイ)","Clay soil with charcoal / Charred Castanopis sieboldi",""
"土壌(焼土)","soil burnt soil",""
"土壌(腐植土)","soil humus",""
"土壌(腐植層)","soil humus",""
"土壌(腐植質シルト)","soil humus silt",""
"土壌（腐植質粘土）","soil humus clay, soil",""
"土壌(貝混)","soil shellfish",""
"土壌（黒灰色粘質土）","black gray viscous soil, soil",""
"土壌(黒色土)","soil black soil",""
"土壌(黒色泥)","soil",""
"土壌(黒色泥質土)","soil",""
"土壌(黒色砂混じりシルト)","soil silt sand",""
"土壌(黒色砂質土)","soil sand",""
"土壌（黒色粘土）","black clay, soil",""
"土壌(黒色腐植土)","soil humus",""
"土壌(黒褐色土)","soil brown soil",""
"土壌(黒褐色砂)","soil sand",""
"土壌(黒褐色砂質シルト)","soil silt sand",""
"土壌に含まれる有機物","soil organic matter",""
"土壌に含まれる木片","wood frag soil",""
"土壌に含まれる炭化物","carbonized soil material",""
"土壌中炭化物","carbonized soil material",""
"土壌中腐植",,"Needs translation"
"土壌化炭化物","carbonized material collected from house",""
"土壌有機物","soil organic matter",""
"土壌混じりの炭化物","carbonized soil material",""
"土壌混炭化物","carbonized soil material",""
"土壌腐植","soil humus",""
"土壌腐食","humic loam, soil",""
"土層（黒色土）","soil layer black soil",""
"土混じり木炭片","Soil mixed with charcoal fragments",""
"土製品付着炭化物","carbonized material residue",""
"地下茎(クワイ)","rhizome stem three-leaf arrowhead (Sagittaria trifolia)",""
"地積物","soil",""
"垂木",,"Needs translation"
"埋もれ木","buried wood",""
"埋れ木",,"Needs translation"
"埋没腐植土壌","soil humus, soil",""
"埋没腐植土層","humus soil layer, soil",""
"埴土","clay soil",""
"基節骨（手）","proximal phlange",""
"堅果","nut",""
"堅果(イチイガシ)","nut red bark oak (Quercus gilva)",""
"堅果(オニグルミ)","nut walnut (Juglans ailanthifolia)",""
"堅果(クヌギ)","nut saw-tooth oak (Quercus acutissima)",""
"堅果(クルミ)","nut walnut (Juglans)",""
"堅果（クルミ属内果皮）","nut endocarp pericarp walnut (Juglans)",""
"堅果(コナラ属アカガシ亜属)","nut oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)",""
"堅果（コナラ属果実）","nut fruit /achenes etc, oak (Quercus sp.)",""
"堅果(トチ)","nut Aesculus??",""
"堅果(ドングリ)","nut oak (Quercus)",""
"堅果(ナラガシワ)","nut Asian white oak (Quercus aliena​)",""
"堅果(ナラガシワ）","nut Asian white oak (Quercus aliena​)",""
"堅果（炭化クルミ？）","carbonized nut walnut (Juglans)",""
"堅果（炭化コナラ？）","carbonized nut oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)",""
"堅果（炭化核、1片）","carbonized nut",""
"堅果果皮","nut pericarp",""
"堅果類","nut",""
"堅果類（アカガシ亜属果実）","nut fruit /achenes etc, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)",""
"堅果類(イチイガシ)","nut red bark oak (Quercus gilva)",""
"堅果類(オニグルミ)","nut walnut (Juglans ailanthifolia)",""
"堅果類植物遺体(アカガシ-ツクバネガシ)",,"Needs translation"
"堅果類植物遺体(アカガシ)",,"Needs translation"
"堅果類植物遺体(アカガシ亜属)",,"Needs translation"
"堅果類植物遺体(アラカシ近似種)",,"Needs translation"
"堅果類植物遺体(コナラ属)",,"Needs translation"
"堆積土","soil sediment",""
"堆積土(貝層)","soil sediment",""
"堆積土壌","soil soil sediment",""
"堆積物","sediment",""
"堆積物･腐食土壌",,"Needs translation"
"堆積物:未分解の植物遺体を多く含む中粒砂混じり有機質細粒砂質シルト","plant grain plant remains organic matter sediment silt sand",""
"堆積物:未分解植物遺体混じり有機質極細粒砂質シルト","plant grain plant remains organic matter sediment silt sand",""
"堆積物:植物遺体･極細粒砂混じりシルト","plant grain plant remains sediment silt sand",""
"堆積物:植物遺体混じりシルト","plant plant remains sediment silt",""
"堆積物:植物遺体混じりシルト質細粒砂","plant grain plant remains sediment silt sand",""
"堆積物:植物遺体混じり極細粒砂質シルト","plant grain plant remains sediment silt sand",""
"堆積物?",,"Needs translation"
"堆積物(土壌)","soil sediment",""
"堆積物(暗灰色粘土)","sediment clay",""
"堆積物(黒色土)","sediment black soil",""
"堆積物(黒褐色土)","sediment brown soil",""
"塗膜","Lacquer coating",""
"塗膜(漆?)",,"Needs translation"
"塗膜(赤色顔料)","Lacquer coating",""
"塗膜片","Lacquer coating piece",""
"塗膜片(漆?)","Lacquer coating piece",""
"大型割截板材(ブナ)",,"Needs translation"
"大腿骨","femur",""
"大腿骨片","femur bone fragment",""
"大足?",,"Needs translation"
"子葉(コナラ)","cotyledon oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)",""
"容器付着物","Deposits from vessels",""
"導水管","water pipe, wood? indet","Multiple translations"
"導水管","water pipe, wood indet.","Multiple translations"
"小型イルカ 椎骨","dolphin /toothed whales (odontocetes) vertebra",""
"小枝","twig branch",""
"小枝（ヤナギ属）","twig branch, willow (Salix sp.)",""
"小枝材","material twig branch",""
"尺骨","ulna",""
"左上腕骨","left humerus",""
"左下顎M1歯","left tooth",""
"左側頭骨","left skull",""
"左大腿骨","bone - left femur",""
"左肋骨","bone - left rib",""
"巻貝",,"Needs translation"
"巻貝･二枚貝","bi-valve clam conch spiral shell",""
"巻貝(イボウミニナ)","conch spiral shell Bazillion snail (Batillaria zonalis)",""
"布?土壌?","soil",""
"常緑広葉樹 葉片および木材化石","material wood fossil wood hardwood",""
"幹材(サワラ)",,"Needs translation"
"広鍬?",,"Needs translation"
"建物柱材",,"Needs translation"
"建築材?(杭)",,"Needs translation"
"建築部材","material",""
"弥生土器（壺）","from pottery, Yayoi pottery (pot)",""
"弥生土器（甕）","from pottery, Yayoi pottery (jar)",""
"微粒炭","Fine grained charcoal",""
"微細な植物遺体","plant plant remains",""
"微細な炭化物","carbonized material",""
"微細植物片","plant fragments",""
"掘り棒","digging stick",""
"方解石","calcite",""
"昆虫化石(ヒメコガネ上翅)","insect soybean beetle (Anomala rufocuprea) upper wingcase",""
"昆虫遺体","insect, insect remains",""
"明褐灰色粘土","clay",""
"暗灰色シルト","silt",""
"暗灰色の土壌","soil",""
"暗灰色粘土","clay",""
"暗灰色腐植質シルト","humus silt",""
"暗灰色腐植質泥","humus",""
"暗色帯土壌","soil",""
"暗褐色シルト","silt",""
"暗褐色砂混じり腐植質シルト","humus silt sand",""
"暗褐色粘土","clay",""
"暗褐色腐植質シルト土壌","soil humus silt",""
"曲物側板",,"Needs translation"
"有機土壌","soil",""
"有機堆積物","organic matter sediment",""
"有機性堆積物","sediment",""
"有機物","organic matter","Multiple translations"
"有機物","organic matter, soil","Multiple translations"
"有機物（甕内オコゲ）","organic matter, burnt ""rice""",""
"有機物混粘土",,"Needs translation"
"有機物片","fragments organic matter",""
"有機物細片","organic matter",""
"有機物質土壌","soil organic matter",""
"有機質","organic matter, indet. organic material",""
"有機質シルト","organic matter silt",""
"有機質の堆積物","organic matter sediment, soil",""
"有機質土","organic matter",""
"有機質土(黒色土壌)","soil organic matter black soil",""
"有機質土壌","soil organic matter",""
"有機質堆積物","organic matter sediment",""
"有機質年土","organic matter",""
"有機質泥","organic matter",""
"有機質片","organic matter",""
"有機質砂質シルト","organic matter silt sand",""
"有機質粘土","organic matter clay",""
"有機質製品","organic matter",""
"木","wood",""
"木(カエデ属)","maple (Acer sp.)",""
"木(クリ)","chestnut (Castanea crenata)",""
"木(ケヤキ)","Japanese zelkova (Zelkowa serrata)",""
"木(コナラ属コナラ亜属クヌギ節)","oak (Quercus sp.) saw-tooth oak (Quercus acutissima)",""
"木(トウヒ属)","spruce (Picea sp.)",""
"木(トネリコ属)","Ash (Fraxinus sp.)",""
"木(ムクノキ)","oriental elm (Aphananthe aspera)",""
"木（倒木）","fallen tree",""
"木(広葉樹)","hardwood",""
"木（杭）","wood stake",""
"木（柵の縦木）","wooden fence stake",""
"木（株）","stump, wood indet.",""
"木（根株・エゴノキ属）","stump, snowbell tree (Styrax sp.) snowbell (Styrax sp.)",""
"木（根株）","stump, wood indet.",""
"木（細杭）","thin stake",""
"木の実(クルミ)","nut/fruit walnut (Juglans)",""
"木の実(トチ)","nut/fruit Aesculus??",""
"木の葉",,"Needs translation"
"木器（杭）","wooden stake, wood indet.",""
"木器（板）","plank, wood indet.",""
"木本泥炭","peat woody",""
"木本炭化物","Wood charcoal?",""
"木本質泥炭","peat woody",""
"木本質泥炭〜草本質泥炭","peat woody herbaceous plants",""
"木本遺体屑","woody",""
"木材","material wood",""
"木材 ウルシ","material wood poison oak/ivy (Toxicodendron sp.)",""
"木材・土壌（腐植質粘土）","soil humic clay, wood and humus",""
"木材,","material wood",""
"木材，J-Cal","material wood",""
"木材，ウイグルマッチング，","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，-20","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，-30","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，-90","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，0","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，1","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，1-5","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，1〜5","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，10","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，11-15","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，1年輪目","material wood year ring C14 wiggle matching sample",""
"木材，ウイグルマッチング，20","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，21-25","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，30","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，31","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，31〜35","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，36〜39","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，40","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，41","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，45","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，50","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，61","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，70","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，クスノキ,","material wood C14 wiggle matching sample camphor tree (Cinnamomum camphora)",""
"木材，ウイグルマッチング，クスノキ,内から105層","material wood C14 wiggle matching sample camphor tree (Cinnamomum camphora)",""
"木材，ウイグルマッチング，クスノキ,内から25層","material wood C14 wiggle matching sample camphor tree (Cinnamomum camphora)",""
"木材，ウイグルマッチング，クスノキ,内から45層","material wood C14 wiggle matching sample camphor tree (Cinnamomum camphora)",""
"木材，ウイグルマッチング，クスノキ,内から5層","material wood C14 wiggle matching sample camphor tree (Cinnamomum camphora)",""
"木材，ウイグルマッチング，クスノキ,内から65層","material wood C14 wiggle matching sample camphor tree (Cinnamomum camphora)",""
"木材，ウイグルマッチング，クスノキ,内から85層","material wood C14 wiggle matching sample camphor tree (Cinnamomum camphora)",""
"木材，ウイグルマッチング，ムクロジ,外から11年目","material wood C14 wiggle matching sample from outermost soapberry (Sapindaceae)",""
"木材，ウイグルマッチング，ムクロジ,外から1年目","material wood C14 wiggle matching sample from outermost soapberry (Sapindaceae)",""
"木材，ウイグルマッチング，ムクロジ,外から21年目","material wood C14 wiggle matching sample from outermost soapberry (Sapindaceae)",""
"木材，ウイグルマッチング，ムクロジ,外から31年目","material wood C14 wiggle matching sample from outermost soapberry (Sapindaceae)",""
"木材，ウイグルマッチング，ムクロジ,外から41年目","material wood C14 wiggle matching sample from outermost soapberry (Sapindaceae)",""
"木材，ウイグルマッチング，ムクロジ,外から51年目","material wood C14 wiggle matching sample from outermost soapberry (Sapindaceae)",""
"木材，ウイグルマッチング，モミ属,最外11年目","material wood outermost C14 wiggle matching sample fir (Abies sp.)",""
"木材，ウイグルマッチング，モミ属,最外1年目","material wood outermost C14 wiggle matching sample fir (Abies sp.)",""
"木材，ウイグルマッチング，モミ属,最外21年目","material wood outermost C14 wiggle matching sample fir (Abies sp.)",""
"木材，ウイグルマッチング，中心から16年輪","material wood year ring C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，中心から26年輪","material wood year ring C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，中心から36年輪","material wood year ring C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，中心から46年輪","material wood year ring C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，中心から6年輪","material wood year ring C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，中間30層目","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，最も内側","material wood C14 wiggle matching sample inside",""
"木材，ウイグルマッチング，最内60層目","material wood C14 wiggle matching sample",""
"木材，ウイグルマッチング，最内から100層目","material wood C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，最内から10層目","material wood C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，最内から110層目","material wood C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，最内から20層目","material wood C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，最内から30層目","material wood C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，最内から40層目","material wood C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，最内から50層目","material wood C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，最内から60層目","material wood C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，最内から70層目","material wood C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，最内から80層目","material wood C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，最内から90層目","material wood C14 wiggle matching sample from center",""
"木材，ウイグルマッチング，最外1層目","material wood outermost C14 wiggle matching sample",""
"木材，ウイグルマッチング，最外から1-5","material wood outermost C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，最外から11-15","material wood outermost C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，最外から11年輪","material wood outermost year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，最外から21-25","material wood outermost C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，最外から21年輪","material wood outermost year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，最外から26-29","material wood outermost C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，最外から26-30","material wood outermost C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，最外から31-35","material wood outermost C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，最外から31年輪","material wood outermost year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，最外から41年輪","material wood outermost year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，最外から49年輪","material wood outermost year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，最外から5年輪","material wood outermost year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から1-5年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から101輪","material wood C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から11-15年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から11-20年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から111-115年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から11年輪","material wood year ring C14 wiggle matching sample from outermost",""
