Prefecture,SiteName,SiteAddress,SamplingLocation,MaterialType,Period,Phase,PeriodCode,LabCode,Method,CRA,CRAError,UnroundedCRA,UnroundedCRAError,Delta13C,Delta13CError,Delta13CIRMS,AnalysedBy,Laboratory,PubblicationYear,ReportTitle,Page,Remarks,Reference,Publisher,Latitude,Longitude,labcode_issues,c14_issues,ReferenceCombined,ReferenceFinal,coordinate_issues,PrefectureNameEn,Region,Furigana,SiteType,Romanised,Material,Material_Details
福岡,那珂君休遺跡4次,福岡市博多区那珂４丁目２９７番地,"Ⅳ,860400023","土器付着物,口縁外",弥生時代前期,夜臼Ⅱb式,C,MTC-04310,AMS法,2510,35,NA,NA,-28.3,NA,-26.2,学術創成研究グループ,東京大学大学院工学系研究科タンデム加速器研究施設,2009,地域別測定データ,139-524,FJ-074,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.5706194444444,130.444338888889,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Fukuoka,Kyushu,なかくんりゅういせき4じ,Site,Nakakunryoiseki4ji,Other,Organic Residue from Pottery
福岡,雀居遺跡,福岡市博多区雀居（福岡空港西側地区）,"4次,福岡市924100285","土器付着物,焦,胴内",弥生時代前期,板付Ⅱb～Ⅱc式,C,Beta-188187,AMS法,2520,40,NA,NA,-25.9,NA,"-25.9,-25.6",学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,FJ-078,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.5808888888889,130.446211111111,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Fukuoka,Kyushu,ささいいせき,Site,Sasaiiseki,Other,Organic Residue from Pottery
福岡,雀居遺跡,福岡市博多区雀居（福岡空港西側地区）,"4次,福岡市924100282","土器付着物,焦,底部内面",弥生時代前期,板付Ⅱb式,C,Beta-188181,AMS法,2540,50,NA,NA,-25.9,NA,-25.9,学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,FJ-081,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.5808888888889,130.446211111111,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Fukuoka,Kyushu,ささいいせき,Site,Sasaiiseki,Other,Organic Residue from Pottery
福岡,高畑遺跡18次,福岡市博多区板付６丁目１番１号他,"18次,市登録993600277","土器付着物,胴外",弥生時代後期,下大隈式,C,Beta-184549,AMS法,1860,40,NA,NA,-25.8,NA,"-25.8,-26.3",学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,FJ-090,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.5587305555556,130.455730555556,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Fukuoka,Kyushu,たかばたいせき18じ,Site,Takabataiseki18ji,Other,Organic Residue from Pottery
宮崎,屏風谷遺跡,都城市上水流町４２０１番地他,135,"土器付着物,胴外",縄文時代晩期末,松添式,B,IAAA-40531,AMS法,2770,40,NA,NA,-30.98,0.86,NA,学術創成研究グループ,加速器分析研究所,2009,地域別測定データ,139-524,FJ-093,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,31.80975,131.0975,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Miyazaki,Kyushu,びょうぶだにいせき,Site,Byobudaniiseki,Other,Organic Residue from Pottery
高知,居徳遺跡,土佐市高岡町乙居徳他,"IC区,ⅣD2層","土器付着物,煤,口縁外",縄文時代晩期,沢田式,B,MTC-03782,AMS法,2620,60,NA,NA,-23.2,NA,-25.5,学術創成研究グループ,東京大学大学院工学系研究科タンデム加速器研究施設,2009,地域別測定データ,139-524,FJ-102　https://sitereports.nabunken.go.jp/10601,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.5028194444444,133.420730555556,";Same labcode, different SiteName;Same labcode, different CRA",NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Kochi,Shikoku,いとくいせき,Site,Itokuiseki,Other,Organic Residue from Pottery
高知,居徳遺跡,土佐市高岡町乙居徳他,"IC区,ⅣD2層","土器付着物,煤,頸外",縄文時代晩期,沢田式,B,MTC-03783,AMS法,2510,50,NA,NA,-24.9,NA,-26.3,学術創成研究グループ,東京大学大学院工学系研究科タンデム加速器研究施設,2009,地域別測定データ,139-524,FJ-105　https://sitereports.nabunken.go.jp/10601,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.5028194444444,133.420730555556,";Same labcode, different SiteName",NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Kochi,Shikoku,いとくいせき,Site,Itokuiseki,Other,Organic Residue from Pottery
高知,居徳遺跡,土佐市高岡町乙居徳他,"IC区,ⅣD2層","土器付着物,煤,胴外",縄文時代晩期,沢田式,B,IAAA-31592,AMS法,2490,30,NA,NA,-24.29,0.82,-25.8,学術創成研究グループ,加速器分析研究所,2009,地域別測定データ,139-524,FJ-106　https://sitereports.nabunken.go.jp/10601,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.5028194444444,133.420730555556,";Same labcode, different SiteName",NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Kochi,Shikoku,いとくいせき,Site,Itokuiseki,Other,Organic Residue from Pottery
高知,居徳遺跡,土佐市高岡町乙居徳他,"IC区,ⅣD層","土器付着物,焦,底部内面",縄文時代晩期,沢田式,B,IAAA-31593,AMS法,2530,30,NA,NA,-23.5,0.72,-25.7,学術創成研究グループ,加速器分析研究所,2009,地域別測定データ,139-524,FJ-108　https://sitereports.nabunken.go.jp/10601,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.5028194444444,133.420730555556,";Same labcode, different SiteName",NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Kochi,Shikoku,いとくいせき,Site,Itokuiseki,Other,Organic Residue from Pottery
高知,居徳遺跡,土佐市高岡町乙居徳他,"IC区,ⅣB層","土器付着物,焦,底部内面",弥生時代前期,遠賀川系,C,IAAA-31594,AMS法,2460,30,NA,NA,-22.96,0.85,-25,学術創成研究グループ,加速器分析研究所,2009,地域別測定データ,139-524,FJ-110　https://sitereports.nabunken.go.jp/10601,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.5028194444444,133.420730555556,";Same labcode, different SiteName",NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Kochi,Shikoku,いとくいせき,Site,Itokuiseki,Other,Organic Residue from Pottery
高知,居徳遺跡,土佐市高岡町乙居徳他,"IC区,ⅣB層","土器付着物,煤,口縁外",縄文時代晩期,沢田式新,B,MTC-07568,AMS法,2555,40,NA,NA,-31.8,NA,NA,学術創成研究グループ,東京大学大学院工学系研究科タンデム加速器研究施設,2009,地域別測定データ,139-524,FJ-111,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.5028194444444,133.420730555556,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Kochi,Shikoku,いとくいせき,Site,Itokuiseki,Other,Organic Residue from Pottery
高知,居徳遺跡,土佐市高岡町乙居徳他,"IC区,Ⅳ層","土器付着物,煤,胴外",縄文時代晩期,沢田式,B,MTC-03784,AMS法,2610,70,NA,NA,-25.9,NA,-26.5,学術創成研究グループ,東京大学大学院工学系研究科タンデム加速器研究施設,2009,地域別測定データ,139-524,FJ-112　https://sitereports.nabunken.go.jp/10601,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.5028194444444,133.420730555556,";Same labcode, different SiteName",NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Kochi,Shikoku,いとくいせき,Site,Itokuiseki,Other,Organic Residue from Pottery
高知,居徳遺跡,土佐市高岡町乙居徳他,"IC区,ⅣB層","土器付着物,煤,口縁外",縄文時代晩期,沢田式新,B,MTC-07569,AMS法,2545,35,NA,NA,-29.7,NA,NA,学術創成研究グループ,東京大学大学院工学系研究科タンデム加速器研究施設,2009,地域別測定データ,139-524,FJ-113,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.5028194444444,133.420730555556,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Kochi,Shikoku,いとくいせき,Site,Itokuiseki,Other,Organic Residue from Pottery
高知,居徳遺跡,土佐市高岡町乙居徳他,"IC区,ⅣB層","土器付着物,煤,口縁外",縄文時代晩期,沢田式新,B,MTC-07570,AMS法,2540,40,NA,NA,-30.2,NA,-26.1,学術創成研究グループ,東京大学大学院工学系研究科タンデム加速器研究施設,2009,地域別測定データ,139-524,FJ-114,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.5028194444444,133.420730555556,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Kochi,Shikoku,いとくいせき,Site,Itokuiseki,Other,Organic Residue from Pottery
高知,居徳遺跡,土佐市高岡町乙居徳他,"IC区,Ⅳ層","土器付着物,煤,胴外",縄文時代晩期,沢田式,B,IAAA-31595,AMS法,2550,30,NA,NA,-22.39,0.92,-26.7,学術創成研究グループ,加速器分析研究所,2009,地域別測定データ,139-524,FJ-115　https://sitereports.nabunken.go.jp/10601,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.5028194444444,133.420730555556,";Same labcode, different SiteName",NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Kochi,Shikoku,いとくいせき,Site,Itokuiseki,Other,Organic Residue from Pottery
福岡,貫川5遺跡,北九州市小倉南区,NA,"土器付着物,口縁外",縄文時代晩期,前池式併行,B,Beta-191838,AMS法,2980,40,NA,NA,-22.9,NA,"-22.9,-22.2",学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,FJ-0133 (re),弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.8466611111111,130.883011111111,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Fukuoka,Kyushu,ぬきかわ5いせき,Site,Nukikawa5iseki,Other,Organic Residue from Pottery
福岡,貫川2遺跡,北九州市小倉南区下貫２丁目他,貫川西第2地点,"土器付着物,胴外",縄文時代後期,貫川Ⅱb式,B,Beta-191837,AMS法,3060,40,NA,NA,-26.3,NA,"-26.3,-26.4",学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,FJ-0134 (re),弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.8168611111111,130.934619444444,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Fukuoka,Kyushu,ぬきかわ2いせき,Site,Nukikawa2iseki,Other,Organic Residue from Pottery
福岡,貫川2遺跡,北九州市小倉南区下貫２丁目他,"箱2362,シール1592,FP790913,CM-H-25","土器付着物,口縁外",縄文時代後期,貫川Ⅱb式,B,Beta-191836,AMS法,3020,40,NA,NA,-25.8,NA,"-25.8,-26.3",学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,FJ-0135 (re),弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.8168611111111,130.934619444444,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Fukuoka,Kyushu,ぬきかわ2いせき,Site,Nukikawa2iseki,Other,Organic Residue from Pottery
福岡,貫川7遺跡,北九州市小倉南区,NA,"土器付着物,口縁外",縄文時代後期,貫川Ⅱa式,B,Beta-191835,AMS法,3150,40,NA,NA,-26,NA,-26,学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,FJ-0136 (re),弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.8466611111111,130.883011111111,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Fukuoka,Kyushu,ぬきかわ7いせき,Site,Nukikawa7iseki,Other,Organic Residue from Pottery
福岡,貫川10遺跡,北九州市小倉南区,214.SI9,"土器付着物,口縁外",縄文時代後期,貫川Ⅱb式,B,Beta-184544,AMS法,3030,40,NA,NA,-26.4,NA,"-26.4,-26.7",学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,FJ-0138,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.8466611111111,130.883011111111,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Fukuoka,Kyushu,ぬきかわ10いせき,Site,Nukikawa10iseki,Other,Organic Residue from Pottery
福岡,屋敷遺跡,北九州市小倉南区大字長野,NA,"土器付着物,炭化物,口縁外",弥生時代早期後半,夜臼Ⅱa式,C,Beta-189554,AMS法,2540,40,NA,NA,-26,NA,"-26.0,-26.2",学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,FJ-0142,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.8130111111111,130.908111111111,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Fukuoka,Kyushu,やしきいせき,Site,Yashikiiseki,Other,Organic Residue from Pottery
福岡,屋敷遺跡,北九州市小倉南区大字長野,NP50,"土器付着物,口縁外",弥生時代前期,板付Ⅰb～Ⅱa式,C,Beta-189555,AMS法,2710,40,NA,NA,-25,NA,-25,学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,FJ-0143,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.8130111111111,130.908111111111,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Fukuoka,Kyushu,やしきいせき,Site,Yashikiiseki,Other,Organic Residue from Pottery
福岡,石田遺跡,北九州市小倉南区大字石田９０１－１,9層,"土器付着物,口縁外",縄文時代晩期,突帯文（前池式併行）,B,MTC-03785,AMS法,2890,80,NA,NA,-31.3,NA,-26.1,学術創成研究グループ,東京大学大学院工学系研究科タンデム加速器研究施設,2009,地域別測定データ,139-524,FJ-145,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.8191,130.883330555556,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Fukuoka,Kyushu,いしだいせき,Site,Ishidaiseki,Other,Organic Residue from Pottery
佐賀,石木中高遺跡,小城郡三日月町大字石木,"SD01,箱2357.シール1268,FP990705CM47-3","土器付着物,外面付着",縄文時代晩期,黒川式新,B,Beta-189556,AMS法,2830,40,NA,NA,-26.1,NA,"-26.1,-26.0",学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,FJ-0162,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.2726111111111,130.202219444444,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Saga,Kyushu,いしきなかたかいせき,Site,Ishikinakatakaiseki,Other,Organic Residue from Pottery
佐賀,石木中高遺跡,小城郡三日月町大字石木,SD01,"土器付着物,胴外",縄文時代晩期末,黒川式新,B,MTC-03788,AMS法,2810,60,NA,NA,-23.9,NA,NA,学術創成研究グループ,東京大学大学院工学系研究科タンデム加速器研究施設,2009,地域別測定データ,139-524,FJ-0165,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.2726111111111,130.202219444444,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Saga,Kyushu,いしきなかたかいせき,Site,Ishikinakatakaiseki,Other,Organic Residue from Pottery
佐賀,石木中高遺跡,小城郡三日月町大字石木,SD01,"土器付着物,胴外",縄文時代晩期末,黒川式新,B,MTC-04053,AMS法,2710,40,NA,NA,-26.1,NA,NA,学術創成研究グループ,東京大学大学院工学系研究科タンデム加速器研究施設,2009,地域別測定データ,139-524,FJ-0165 (re2),弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.2726111111111,130.202219444444,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Saga,Kyushu,いしきなかたかいせき,Site,Ishikinakatakaiseki,Other,Organic Residue from Pottery
佐賀,石木中高遺跡,小城郡三日月町大字石木,SD01,"土器付着物,胴外",縄文時代晩期末,黒川式新,B,Beta-191834,AMS法,2840,40,NA,NA,-25.7,NA,-25.7,学術創成研究グループ,Beta Analytic Inc.,2009,地域別測定データ,139-524,FJ-0165 (re),弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,33.2726111111111,130.202219444444,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Saga,Kyushu,いしきなかたかいせき,Site,Ishikinakatakaiseki,Other,Organic Residue from Pottery
