"site","reference","retrievedRef","nabunkenURL","DOI","toCheck"
"川崎市多摩区No.61遺跡","川崎市多摩区No.61遺跡(宿河原縄文時代低地遺跡)発掘調査報告書",NA,NA,NA,TRUE
"川尻遺跡","かながわ考古学財団調査報告262　川尻遺跡Ⅲ",NA,NA,NA,TRUE
"川尻石器時代遺跡","国指定史跡川尻石器時代遺跡確認調査報告書Ⅰ",NA,NA,NA,TRUE
"早川天神森遺跡","神奈川県立埋蔵文化財センター調査報告2　早川天神森遺跡",NA,NA,NA,TRUE
"相模原No.76遺跡","相模原市遺跡調査会調査報告1　相模原市No.76遺跡",NA,NA,NA,TRUE
"打木原遺跡","横須賀市埋蔵文化財調査報告書第10集　打木原遺跡",NA,NA,NA,TRUE
"代官山遺跡","神奈川県立埋蔵文化財センター調査報告11　代官山遺跡",NA,NA,NA,TRUE
"大塚戸遺跡","大和市文化財調査報告書第60集　大塚戸遺跡B･C地点",NA,NA,NA,TRUE
"大日野原遺跡","中央大学文学部考古学研究室調査報告書3　大日野原遺跡−第3次発掘調査　遺物編−",NA,NA,NA,TRUE
"大保戸遺跡","かながわ考古学財団調査報告289　大保戸遺跡","(公財)かながわ考古学財団 2013 『かながわ考古学財団調査報告289：大保戸遺跡』(公財)かながわ考古学財団","https://sitereports.nabunken.go.jp/27721",NA,TRUE
"池子遺跡群","かながわ考古学財団調査報告11　池子遺跡群Ⅲ","神奈川県考古学会 2004 『考古論叢神奈河12』神奈川県考古学会","https://sitereports.nabunken.go.jp/21326","http://doi.org/10.24484/sitereports.21326",TRUE
"池子遺跡群","かながわ考古学財団調査報告26　池子遺跡群Ⅳ　第2分冊",NA,NA,NA,TRUE
"池子遺跡群","かながわ考古学財団調査報告36　池子遺跡群Ⅵ","神奈川県考古学会 2004 『考古論叢神奈河12』神奈川県考古学会","https://sitereports.nabunken.go.jp/21326","http://doi.org/10.24484/sitereports.21326",TRUE
"池子遺跡群","かながわ考古学財団調査報告43　池子遺跡群Ⅶ","神奈川県考古学会 2004 『考古論叢神奈河12』神奈川県考古学会","https://sitereports.nabunken.go.jp/21326","http://doi.org/10.24484/sitereports.21326",TRUE
"池子遺跡群","かながわ考古学財団調査報告44　池子遺跡群Ⅷ",NA,NA,NA,TRUE
"池子遺跡群","かながわ考古学財団調査報告46　池子遺跡群Ⅹ　第4分冊　別編･自然科学分析編",NA,NA,NA,TRUE
"池子遺跡","かながわ考古学財団調査報告263　池子遺跡群Ⅺ　第2分冊",NA,NA,NA,TRUE
"中屋敷遺跡","中屋敷遺跡発掘調査報告書",NA,NA,NA,TRUE
"中屋敷遺跡","中屋敷遺跡発掘調査報告書Ⅱ　第７･8次調査",NA,NA,NA,TRUE
"中原上宿遺跡","中原上宿　三分冊之一(本文)",NA,NA,NA,TRUE
"中耕地遺跡","中耕地遺跡","横浜市埋蔵文化財センター 1991 『中耕地遺跡』横浜市埋蔵文化財センター","https://sitereports.nabunken.go.jp/27006",NA,TRUE
"中野桜野遺跡","かながわ考古学財団調査報告231　中野桜野遺跡　第4分冊",NA,NA,NA,TRUE
"中里遺跡","中里遺跡発掘調査報告書　第Ⅰ分冊(本文編)",NA,NA,NA,TRUE
"長柄桜山古墳群第1号墳","国指定史跡長柄桜山古墳群第1号墳発掘調査報告書−史跡整備に伴う発掘調査−",NA,NA,NA,TRUE
"根小屋根本遺跡","かながわ考古学財団調査報告166　津久井城根小屋地区遺跡群",NA,NA,NA,TRUE
"津久井城跡(本城曲輪群地区)","かながわ考古学財団調査報告246　津久井城跡Ⅱ(本城曲輪群地区)",NA,NA,NA,TRUE
"津久井城跡荒久地区","相模原市埋蔵文化財調査報告46　津久井城跡荒久地区発掘調査報告書",NA,NA,NA,TRUE
"津久井城跡馬込地区","かながわ考古学財団調査報告249　津久井城跡馬込地区","(財)かながわ考古学財団 2010 『かながわ考古学財団調査報告249：津久井城跡馬込地区』(財)かながわ考古学財団","https://sitereports.nabunken.go.jp/25507",NA,TRUE
"鶴巻南遺跡群","かながわ考古学財団調査報告189　鶴巻南遺跡群","財団法人かながわ考古学財団 2005 『かながわ考古学財団調査報告189：鶴巻南遺跡群』財団法人かながわ考古学財団","https://sitereports.nabunken.go.jp/26600",NA,TRUE
"伝福寺裏遺跡","横須賀市文化財調査報告書第16集　伝福寺裏遺跡",NA,NA,NA,TRUE
"横須賀市神明町地先","横須賀市文化財調査報告書第16集　伝福寺裏遺跡",NA,NA,NA,TRUE
"田中･万代遺跡","かながわ考古学財団調査報告103　田中･万代遺跡",NA,NA,NA,TRUE
"田名稲荷山遺跡","神奈川県立埋蔵文化財センター調査報告12　田名稲荷山遺跡",NA,NA,NA,TRUE
"田名堀ノ内遺跡","かながわ考古学財団調査報告191　田名堀ノ内遺跡",NA,NA,NA,TRUE
"王子ノ台遺跡","東海大学校地内遺跡調査団報告2",NA,NA,NA,TRUE
"王子ノ台遺跡","東海大学校地内遺跡調査団報告7",NA,NA,NA,TRUE
"東田原象ヶ谷戸遺跡","かながわ考古学財団調査報告305　東田原象ヶ谷戸遺跡","(公財)かながわ考古学財団 2014 『かながわ考古学財団調査報告305：東田原象ヶ谷戸遺跡』(公財)かながわ考古学財団","https://sitereports.nabunken.go.jp/27848",NA,TRUE
"東富岡･西之窪遺跡","かながわ考古学財団調査報告290　東富岡･西之窪遺跡　東富岡･南三間遺跡　東富岡･北三間遺跡第2地点",NA,NA,NA,TRUE
"東富岡･北三間遺跡","かながわ考古学財団調査報告290　東富岡･西之窪遺跡　東富岡･南三間遺跡　東富岡･北三間遺跡第2地点",NA,NA,NA,TRUE
"当麻遺跡","かながわ考古学財団調査報告287　当麻遺跡第1地点","(公財)かながわ考古学財団 2013 『かながわ考古学財団調査報告287：当麻遺跡第1地点』(公財)かながわ考古学財団","https://sitereports.nabunken.go.jp/27719",NA,TRUE
"青根馬渡No.3遺跡","かながわ考古学財団調査報告59　道志導水路関連遺跡(第2分冊)",NA,NA,NA,TRUE
"青根馬渡No.4遺跡","かながわ考古学財団調査報告59　道志導水路関連遺跡(第2分冊)",NA,NA,NA,TRUE
"青根馬渡No.5遺跡","かながわ考古学財団調査報告59　道志導水路関連遺跡(第2分冊)",NA,NA,NA,TRUE
"奈良地区遺跡群","奈良地区遺跡群Ⅰ　理科学分析編",NA,NA,NA,TRUE
"南鍛冶山遺跡","南鍛冶山遺跡発掘調査報告書　第1巻　縄文時代草創期",NA,NA,NA,TRUE
"日吉台遺跡群蝮谷地区","日吉台遺跡蝮谷地区発掘調査報告書",NA,NA,NA,TRUE
"馬場綿内谷遺跡","かながわ考古学財団調査報告295　馬場綿内谷遺跡","(公財)かながわ考古学財団 2013 『かながわ考古学財団調査報告295：馬場綿内谷遺跡』(公財)かながわ考古学財団","https://sitereports.nabunken.go.jp/27838",NA,TRUE
"白幡浦島丘遺跡","かながわ考古学財団調査報告152　白幡浦島丘遺跡","財団法人かながわ考古学財団 2003 『かながわ考古学財団調査報告152：白幡浦島丘遺跡』財団法人かながわ考古学財団","https://sitereports.nabunken.go.jp/27115",NA,TRUE
"畑久保西遺跡","かながわ考古学財団調査報告302　畑久保西遺跡　第3分冊",NA,NA,NA,TRUE
"八幡神社遺跡","横須賀市文化財調査報告書第52集　八幡神社遺跡　平成24･25年度新指定重要文化財等調査報告　近代遺跡･近代化遺産調査概報集Ⅶ　埋蔵文化財発掘調査概報集ⅩⅩⅠ",NA,NA,NA,TRUE
"半原屈中原遺跡","かながわ考古学財団調査報告95　半原屈中原遺跡","財団法人 かながわ考古学財団 2000 『かながわ考古学財団調査報告95：半原屈中原遺跡』財団法人 かながわ考古学財団","https://sitereports.nabunken.go.jp/26578",NA,TRUE
"飯綱上遺跡","かながわ考古学財団調査報告121　飯綱上遺跡","財団法人かながわ考古学財団 2001 『かながわ考古学財団調査報告121：飯綱上遺跡1』財団法人かながわ考古学財団","https://sitereports.nabunken.go.jp/26776",NA,TRUE
"比々多遺跡群","比々多遺跡群(遺物編)",NA,NA,NA,TRUE
"福田丙二ノ区遺跡","かながわ考古学財団調査報告68　福田丙二ノ区遺跡",NA,NA,NA,TRUE
"平和坂遺跡","かながわ考古学財団調査報告78　平和坂遺跡","財団法人 かながわ考古学財団 2000 『かながわ考古学財団調査報告78：平和坂遺跡』財団法人 かながわ考古学財団","https://sitereports.nabunken.go.jp/26781",NA,TRUE
"万福寺No.1遺跡","万福寺遺跡群",NA,NA,NA,TRUE
"明神台北遺跡","かながわ考古学財団調査報告192　明神台遺跡　明神台北遺跡",NA,NA,NA,TRUE
"矢代遺跡","かながわ考古学財団調査報告101　矢代遺跡","財団法人かながわ考古学財団 2000 『かながわ考古学財団調査報告101：矢代遺跡』財団法人かながわ考古学財団","https://sitereports.nabunken.go.jp/26529",NA,TRUE
"矢頭遺跡","かながわ考古学財団調査報告25　宮畑(No.34)遺跡　矢頭(No.35)遺跡　大久保(No.36)遺跡",NA,NA,NA,TRUE
"油壺遺跡","三浦市埋蔵文化財調査報告書第11集　油壺遺跡",NA,NA,NA,TRUE
"由比ガ浜中世集団墓地遺跡","由比ガ浜中世集団墓地遺跡(No.372)発掘調査報告書−鎌倉市由比ガ浜二丁目1015番25外2筆地点−",NA,NA,NA,TRUE
"用田大河内遺跡","かながわ考古学財団調査報告167　用田大河内遺跡","財団法人かながわ考古学財団 2004 『かながわ考古学財団調査報告167：用田大河内遺跡』財団法人かながわ考古学財団","https://sitereports.nabunken.go.jp/26820",NA,TRUE
"用田鳥居前遺跡","かながわ考古学財団調査報告128　用田鳥居前遺跡","(財)かながわ考古学財団 2002 『かながわ考古学財団調査報告128：用田鳥居前遺跡』(財)かながわ考古学財団","https://sitereports.nabunken.go.jp/27687",NA,TRUE
"用田南原遺跡","かながわ考古学財団調査報告168　用田南原遺跡","財団法人かながわ考古学財団 2004 『かながわ考古学財団調査報告168：用田南原遺跡』財団法人かながわ考古学財団","https://sitereports.nabunken.go.jp/26848",NA,TRUE
"用田南原遺跡","かながわ考古学財団調査報告180　用田南原遺跡Ⅱ",NA,NA,NA,TRUE
"葉山島中平遺跡","かながわ考古学財団調査報告286　葉山島中平遺跡","(公財)かながわ考古学財団 2012 『かながわ考古学財団調査報告286：葉山島中平遺跡』(公財)かながわ考古学財団","https://sitereports.nabunken.go.jp/27718",NA,TRUE
"鉞切遺跡","横須賀市文化財調査報告書第12集　鉞切遺跡−C･D地点の調査−","宮城県教育委員会 2018 『宮城県文化財調査報告書246：山王遺跡Ⅶ』宮城県教育委員会他","https://sitereports.nabunken.go.jp/22115","http://doi.org/10.24484/sitereports.22115",TRUE
"小保戸遺跡","かながわ考古学財団調査報告288　小保戸遺跡　第2分冊",NA,NA,NA,TRUE
"ふくべ(3)遺跡","青森県埋蔵文化財調査報告書第392集　通目木遺跡　ふくべ(3)遺跡　ふくべ(4)遺跡",NA,NA,NA,TRUE
"大石平(1)遺跡","青森県埋蔵文化財報告書第28集　むつ小川原開発予定地域内埋蔵文化財試掘調査概報",NA,NA,NA,TRUE
"富ノ沢(2)遺跡","青森県埋蔵文化財報告書第28集　むつ小川原開発予定地域内埋蔵文化財試掘調査概報",NA,NA,NA,TRUE
"発茶沢(2)遺跡","青森県埋蔵文化財報告書第24集　昭和49年度むつ小川原開発予定地域内埋蔵文化財試掘調査概報",NA,NA,NA,TRUE
"弥栄平(3)遺跡","青森県埋蔵文化財報告書第24集　昭和49年度むつ小川原開発予定地域内埋蔵文化財試掘調査概報",NA,NA,NA,TRUE
"富ノ沢(1)遺跡","青森県埋蔵文化財報告書第24集　昭和49年度むつ小川原開発予定地域内埋蔵文化財試掘調査概報",NA,NA,NA,TRUE
"芦沢(2)遺跡","青森県埋蔵文化財調査報告書第540集　芦沢(2)遺跡",NA,NA,NA,TRUE
"安田(2)遺跡","青森県埋蔵文化財調査報告書第321集　安田(2)遺跡Ⅲ",NA,NA,NA,TRUE
"一ノ渡遺跡","青森県埋蔵文化財調査報告書第79集　一ノ渡遺跡発掘調査報告書",NA,NA,NA,TRUE
"稲元遺跡","青森県埋蔵文化財調査報告書第468集　稲元遺跡Ⅱ",NA,NA,NA,TRUE
"稲元遺跡","青森県埋蔵文化財調査報告書第491集　稲元遺跡Ⅲ",NA,NA,NA,TRUE
"稲山遺跡","青森市埋蔵文化財調査報告書第72集　稲山遺跡発掘調査報告書Ⅴ(分析･総括編)",NA,NA,NA,TRUE
"隠川(11)遺跡","青森県埋蔵文化財発掘調査報告書第260集　隠川(11)遺跡Ⅰ･隠川(12)遺跡Ⅱ",NA,NA,NA,TRUE
"隠川(12)遺跡","青森県埋蔵文化財発掘調査報告書第260集　隠川(11)遺跡Ⅰ･隠川(12)遺跡Ⅱ",NA,NA,NA,TRUE
"右ェ門次郎窪遺跡","青森県埋蔵文化財調査報告書第69集　右ェ門次郎窪遺跡　三合山遺跡　石ノ窪遺跡　発掘調査報告書",NA,NA,NA,TRUE
"三合山遺跡","青森県埋蔵文化財調査報告書第69集　右ェ門次郎窪遺跡　三合山遺跡　石ノ窪遺跡　発掘調査報告書",NA,NA,NA,TRUE
"宇田野(2)遺跡","青森県埋蔵文化財調査報告書第271集　宇田野(2)遺跡･宇田野(3)遺跡･草薙(3)遺跡",NA,NA,NA,TRUE
"雲谷山吹遺跡","青森市埋蔵文化財調査報告書第65集　雲谷山吹(4)〜(7)遺跡発掘調査報告書",NA,NA,NA,TRUE
"永野遺跡","青森県埋蔵文化財調査報告書第56集　永野遺跡発掘調査報告書",NA,NA,NA,TRUE
"牡丹平南遺跡","青森県埋蔵文化財調査報告書第26集　黒石市牡丹平南遺跡･浅瀬石遺跡発掘調査報告書",NA,NA,NA,TRUE
"浅瀬石遺跡","青森県埋蔵文化財調査報告書第26集　黒石市牡丹平南遺跡･浅瀬石遺跡発掘調査報告書",NA,NA,NA,TRUE
"下石川平野遺跡","青森県埋蔵文化財調査報告書第556集　下石川平野遺跡","青森県埋蔵文化財調査センター 2018 『青森県埋蔵文化財調査報告書591：熊沢溜池遺跡・上野遺跡3・郷山前村元遺跡』青森県教育委員会","https://sitereports.nabunken.go.jp/54456","http://doi.org/10.24484/sitereports.54456",TRUE
"下石川平野遺跡　","青森県埋蔵文化財調査報告書第569集　下石川平野遺跡Ⅱ　旭(1)遺跡　旭(2)遺跡　(第2分冊)",NA,NA,NA,TRUE
"旭(1)遺跡","青森県埋蔵文化財調査報告書第569集　下石川平野遺跡Ⅱ　旭(1)遺跡　旭(2)遺跡　(第2分冊)",NA,NA,NA,TRUE
"旭(2)遺跡","青森県埋蔵文化財調査報告書第569集　下石川平野遺跡Ⅱ　旭(1)遺跡　旭(2)遺跡　(第2分冊)",NA,NA,NA,TRUE
"下天摩遺跡","青森県埋蔵文化財調査報告書第572集　下天摩遺跡･大草里窪遺跡",NA,NA,NA,TRUE
"外馬屋前田(2)遺跡","青森県埋蔵文化財調査報告書第242集　外馬屋前田(1)遺跡",NA,NA,NA,TRUE
"潟野遺跡","青森県埋蔵文化財調査報告書第412集　潟野遺跡","青森県埋蔵文化財調査センター 2007 『青森県埋蔵文化財調査報告書431：潟野遺跡2』青森県教育委員会","https://sitereports.nabunken.go.jp/34324","青森県埋蔵文化財調査センター 2007 『青森県埋蔵文化財調査報告書431：潟野遺跡2』青森県教育委員会",TRUE
"潟野遺跡","青森県埋蔵文化財調査報告書第431集　潟野遺跡Ⅱ",NA,NA,NA,TRUE
"葛野(2)遺跡","青森市埋蔵文化財調査報告書第34集　葛野(2)遺跡発掘調査報告書",NA,NA,NA,TRUE
"葛野(2)遺跡","青森市埋蔵文化財調査報告書第44集　葛野(2)遺跡発掘調査報告書Ⅱ",NA,NA,NA,TRUE
"葛野(3)遺跡","青森市埋蔵文化財調査報告書第105集　葛野(3)遺跡発掘調査報告書",NA,NA,NA,TRUE
"鴨平(2)遺跡","青森県埋蔵文化財調査報告書第73集　鴨平(2)遺跡発掘調査報告書",NA,NA,NA,TRUE
"館向遺跡","青森県埋蔵文化財調査報告書第425集　館向遺跡",NA,NA,NA,TRUE
"館平遺跡","青森県埋蔵文化財調査報告書第533集　館平遺跡Ⅱ",NA,NA,NA,TRUE
"館平遺跡","八戸市埋蔵文化財調査報告書第143集　八戸市内遺跡発掘調査報告書31",NA,NA,NA,TRUE
"岩ノ沢平遺跡","青森県埋蔵文化財調査報告書第287集　岩ノ沢平遺跡(第2分冊)",NA,NA,NA,TRUE
"岩ノ沢平遺跡","青森県埋蔵文化財調査報告書第301集　岩ノ沢平遺跡Ⅱ","公益財団法人岩手県文化振興事業団埋蔵文化財センター 2020 『岩手県文化振興事業団埋蔵文化財調査報告書714：サンニヤⅢ遺跡発掘調査報告書』国土交通省東北地方整備局三陸国道事務所他","https://sitereports.nabunken.go.jp/70324","http://doi.org/10.24484/sitereports.70324",TRUE
"岩渡小谷(2)遺跡","青森県埋蔵文化財調査報告書第300集　岩渡小谷(2)遺跡",NA,NA,NA,TRUE
"鬼川辺(1)遺跡","青森県埋蔵文化財調査報告書第541集　鬼川辺(1)遺跡　鬼川辺(2)遺跡　鬼川辺(3)遺跡",NA,NA,NA,TRUE
"鬼川辺(3)遺跡","青森県埋蔵文化財調査報告書第541集　鬼川辺(1)遺跡　鬼川辺(2)遺跡　鬼川辺(3)遺跡",NA,NA,NA,TRUE
"亀ヶ岡遺跡","青森県立郷土館調査報告第17集･考古−6　亀ヶ岡石器時代遺跡",NA,NA,NA,TRUE
"亀ヶ岡遺跡","亀ヶ岡文化の低湿地遺跡　冷温帯地域の遺跡資源の保存活用促進プロジェクト調査成果報告書1",NA,NA,NA,TRUE
"石郷(2)遺跡","亀ヶ岡文化の低湿地遺跡　冷温帯地域の遺跡資源の保存活用促進プロジェクト調査成果報告書1",NA,NA,NA,TRUE
"石郷(3)遺跡","亀ヶ岡文化の低湿地遺跡　冷温帯地域の遺跡資源の保存活用促進プロジェクト調査成果報告書1",NA,NA,NA,TRUE
"八幡崎(1)遺跡","亀ヶ岡文化の低湿地遺跡　冷温帯地域の遺跡資源の保存活用促進プロジェクト調査成果報告書1",NA,NA,NA,TRUE
"羽黒平(1)遺跡","亀ヶ岡文化の低湿地遺跡　冷温帯地域の遺跡資源の保存活用促進プロジェクト調査成果報告書1",NA,NA,NA,TRUE
"久米川遺跡","青森県埋蔵文化財調査報告書第163集　稲垣村久米川遺跡発掘調査報告書",NA,NA,NA,TRUE
"宮田館遺跡","青森県埋蔵文化財調査報告書第322集　宮田館遺跡発掘調査報告書",NA,NA,NA,TRUE
"宮田館遺跡","青森県埋蔵文化財調査報告書第340集　宮田館遺跡Ⅱ･三本木遺跡発掘調査報告書",NA,NA,NA,TRUE
"米山(2)遺跡","青森県埋蔵文化財調査報告書第344集　宮田館遺跡Ⅲ･米山(2)遺跡Ⅱ",NA,NA,NA,TRUE
"宮田館遺跡","青森県埋蔵文化財調査報告書第344集　宮田館遺跡Ⅲ･米山(2)遺跡Ⅱ",NA,NA,NA,TRUE
"宮田館遺跡","青森県埋蔵文化財調査報告書第365集　宮田館遺跡Ⅳ",NA,NA,NA,TRUE
"宮田館遺跡","青森県埋蔵文化財調査報告書第411集　宮田館遺跡Ⅴ",NA,NA,NA,TRUE
"宮田館遺跡","青森県埋蔵文化財調査報告書第429集　宮田館遺跡Ⅵ",NA,NA,NA,TRUE
"宮本(2)遺跡","青森県埋蔵文化財調査報告書第293集　宮本(2)遺跡","青森市教育委員会 2016 『青森市埋蔵文化財調査報告書119：市内遺跡発掘調査報告書24』青森市教育委員会","https://sitereports.nabunken.go.jp/16230","http://doi.org/10.24484/sitereports.16230",TRUE
"近野遺跡","青森県埋蔵文化財調査報告書第33集　近野遺跡発掘調査報告書(Ⅲ)　三内丸山(Ⅱ)遺跡発掘調査報告書",NA,NA,NA,TRUE
"近野遺跡","青森県埋蔵文化財調査報告書第47集　近野遺跡発掘調査報告書(Ⅳ)",NA,NA,NA,TRUE
"近野遺跡","青森県埋蔵文化財調査報告書第418集　近野遺跡Ⅸ",NA,NA,NA,TRUE
"近野遺跡","青森県埋蔵文化財調査報告書第394集　近野遺跡Ⅷ",NA,NA,NA,TRUE
"近野遺跡","青森県埋蔵文化財調査報告書第432集　近野遺跡Ⅹ",NA,NA,NA,TRUE
"新沢(2)遺跡","青森県埋蔵文化財調査報告書第563集　金沢街道沢(1)遺跡　新沢(1)遺跡　新沢(2)遺跡",NA,NA,NA,TRUE
"新沢(1)遺跡","青森県埋蔵文化財調査報告書第563集　金沢街道沢(1)遺跡　新沢(1)遺跡　新沢(2)遺跡",NA,NA,NA,TRUE
"金沢街道沢(1)遺跡","青森県埋蔵文化財調査報告書第563集　金沢街道沢(1)遺跡　新沢(1)遺跡　新沢(2)遺跡",NA,NA,NA,TRUE
"駒沢(6)遺跡","青森県埋蔵文化財調査報告書第529集　駒沢(5)遺跡　駒沢(6)遺跡","青森県埋蔵文化財調査センター 2015 『青森県埋蔵文化財調査報告書554：駒沢（5）遺跡2　駒沢（6）遺跡2』青森県教育委員会","https://sitereports.nabunken.go.jp/35090","http://doi.org/10.24484/sitereports.35090",TRUE
"駒沢(6)遺跡","青森県埋蔵文化財調査報告書第554集　駒沢(5)遺跡Ⅱ　駒沢(6)遺跡Ⅱ","青森県埋蔵文化財調査センター 2015 『青森県埋蔵文化財調査報告書554：駒沢（5）遺跡2　駒沢（6）遺跡2』青森県教育委員会","https://sitereports.nabunken.go.jp/35090","http://doi.org/10.24484/sitereports.35090",TRUE
"駒沢(5)遺跡","青森県埋蔵文化財調査報告書第554集　駒沢(5)遺跡Ⅱ　駒沢(6)遺跡Ⅱ","青森県埋蔵文化財調査センター 2015 『青森県埋蔵文化財調査報告書554：駒沢（5）遺跡2　駒沢（6）遺跡2』青森県教育委員会","https://sitereports.nabunken.go.jp/35090","http://doi.org/10.24484/sitereports.35090",TRUE
"櫛引遺跡","青森県埋蔵文化財調査報告書第263集　櫛引遺跡","青森県埋蔵文化財調査センター 2000 『青森県埋蔵文化財調査報告書272：櫛引遺跡2』青森県教育委員会","https://sitereports.nabunken.go.jp/34165","青森県埋蔵文化財調査センター 2000 『青森県埋蔵文化財調査報告書272：櫛引遺跡2』青森県教育委員会",TRUE
"堀端(1)遺跡","青森県埋蔵文化財調査報告書第517集　堀端(1)遺跡Ⅱ　上明戸遺跡","青森県埋蔵文化財調査センター 2013 『研究紀要第18号』青森県埋蔵文化財調査センター","https://sitereports.nabunken.go.jp/69902","http://doi.org/10.24484/sitereports.69902",TRUE
"上明戸遺跡","青森県埋蔵文化財調査報告書第517集　堀端(1)遺跡Ⅱ　上明戸遺跡","青森県埋蔵文化財調査センター 2013 『研究紀要第18号』青森県埋蔵文化財調査センター","https://sitereports.nabunken.go.jp/69902","http://doi.org/10.24484/sitereports.69902",TRUE
"熊ヶ平遺跡","青森県埋蔵文化財調査報告書第180集　熊ヶ平遺跡発掘調査報告書",NA,NA,NA,TRUE
"熊沢遺跡","青森市埋蔵文化財調査報告書第48集　熊沢遺跡発掘調査報告書","青森市教育委員会 2000 『青森市埋蔵文化財調査報告書48：熊沢遺跡発掘調査報告書』青森市教育委員会","https://sitereports.nabunken.go.jp/1074","青森市教育委員会 2000 『青森市埋蔵文化財調査報告書48：熊沢遺跡発掘調査報告書』青森市教育委員会",TRUE
"熊野堂遺跡","八戸市埋蔵文化財調査報告書第153集　熊野堂遺跡第2地点",NA,NA,NA,TRUE
"隈無(4)遺跡","青森県埋蔵文化財調査報告書第209集　隈無（4）遺跡",NA,NA,NA,TRUE
"隈無(8)遺跡","青森県埋蔵文化財調査報告書第313集　隈無(8)遺跡",NA,NA,NA,TRUE
"蛍沢遺跡","青森市蛍沢遺跡発掘調査報告書",NA,NA,NA,TRUE
"剣吉荒町遺跡","青森県埋蔵文化財調査報告書第558集　剣吉荒町遺跡","公益財団法人岩手県文化振興事業団埋蔵文化財センター 2017 『紀要第36号』公益財団法人岩手県文化振興事業団埋蔵文化財センター","https://sitereports.nabunken.go.jp/23013","http://doi.org/10.24484/sitereports.23013",TRUE
"弥次郎窪遺跡","青森県埋蔵文化財調査報告書第238集　見立山(1)遺跡　弥次郎窪遺跡Ⅱ","青森県埋蔵文化財調査センター 2016 『青森県埋蔵文化財調査報告書561：弥次郎窪遺跡3　潟野遺跡4』青森県教育委員会","https://sitereports.nabunken.go.jp/35130","http://doi.org/10.24484/sitereports.35130",TRUE
"古宮遺跡","青森県埋蔵文化財調査報告書第92集　石ノ窪(1)･石ノ窪(2)･古宮遺跡発掘調査報告書",NA,NA,NA,TRUE
"戸沢遺跡","青森県埋蔵文化財調査報告書第254集　戸沢遺跡",NA,NA,NA,TRUE
"戸沢川代遺跡","青森県埋蔵文化財調査報告書第192集　戸沢川代遺跡･熊ヶ平遺跡発掘調査報告書",NA,NA,NA,TRUE
"五川目(6)遺跡","青森県埋蔵文化財調査報告書第502集　五川目(6)遺跡","青森県埋蔵文化財調査センター 2011 『青森県埋蔵文化財調査報告書502：五川目（6）遺跡』青森県教育委員会","https://sitereports.nabunken.go.jp/34366","http://doi.org/10.24484/sitereports.34366",TRUE
"向山(4)遺跡","青森県埋蔵文化財調査報告書第134集　向山(4)遺跡",NA,NA,NA,TRUE
"向田(35)遺跡","青森県埋蔵文化財調査報告書第373集　向田(35)遺跡(第2分冊)",NA,NA,NA,TRUE
"向田(36)遺跡","野辺地町文化財調査報告書第17集　向田(36)遺跡",NA,NA,NA,TRUE
"幸畑(4)遺跡","青森県埋蔵文化財調査報告書第236集　幸畑(4)遺跡･幸畑(1)遺跡",NA,NA,NA,TRUE
"幸畑(1)遺跡","青森県埋蔵文化財調査報告書第236集　幸畑(4)遺跡･幸畑(1)遺跡",NA,NA,NA,TRUE
"幸畑(7)遺跡","青森県埋蔵文化財調査報告書第125集　幸畑(7)遺跡発掘調査報告書",NA,NA,NA,TRUE
"史跡津軽氏城跡(弘前城跡)","史跡津軽氏城跡(弘前城跡)　弘前城本丸発掘調査概報Ⅱ−本丸石垣解体修理事業に係る発掘調査−",NA,NA,NA,TRUE
"江豚沢遺跡","江豚沢Ⅰ",NA,NA,NA,TRUE
"梨ノ木平遺跡","江豚沢Ⅰ",NA,NA,NA,TRUE
"宿野部遺跡","江豚沢Ⅰ",NA,NA,NA,TRUE
"大川目遺跡","江豚沢Ⅰ",NA,NA,NA,TRUE
"糠塚小沢遺跡","青森県埋蔵文化財調査報告書第376集　糠塚小沢遺跡",NA,NA,NA,TRUE
"荒屋敷久保(1)遺跡","青森県埋蔵文化財調査報告書第453集　荒屋敷久保(1)遺跡","公益財団法人岩手県文化振興事業団埋蔵文化財センター 2020 『岩手県文化振興事業団埋蔵文化財調査報告書714：サンニヤⅢ遺跡発掘調査報告書』国土交通省東北地方整備局三陸国道事務所他","https://sitereports.nabunken.go.jp/70324","http://doi.org/10.24484/sitereports.70324",TRUE
"荒屋敷久保(2)遺跡","青森県埋蔵文化財調査報告書第465集　荒屋敷久保(2)遺跡　横沢山(1)遺跡　横沢山(2)遺跡","洋野町教育委員会他 2020 『洋野町埋蔵文化財調査報告書8：尺沢遺跡発掘調査報告書』洋野町教育委員会","https://sitereports.nabunken.go.jp/70507","http://doi.org/10.24484/sitereports.70507",TRUE
"荒谷遺跡","荒谷遺跡","八戸市南郷区役所建設課 2007 『八戸市南郷区埋蔵文化財調査報告書：荒谷遺跡』八戸市南郷区役所建設課","https://sitereports.nabunken.go.jp/34622",NA,TRUE
"高屋敷館遺跡","青森県埋蔵文化財調査報告書第243集　高屋敷館遺跡発掘調査報告書",NA,NA,NA,TRUE
