MaterialTypeUniqueID,Material_Classification,Material_Details_JPN,inconsistent,Materials_Details_EN,Materials_Detail_Identification_EN,Materials_Detail_Other_EN,Materials_Detail_Notes_EN
2312,Charred Remain,炭化物(コナラ属クヌギ節),0,carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima),oak (Quercus sp.) saw-tooth oak (Quercus acutissima),carbonized material,
2313,Charred Remain,炭化物(コナラ属コナラ亜属クヌギ節),0,carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima),oak (Quercus sp.) saw-tooth oak (Quercus acutissima),carbonized material,
2314,Charred Remain,炭化物(コナラ属コナラ節),0,carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata),oak (Quercus sp.) Jolcham oak (Quercus serrata),carbonized material,
2316,Charred Remain,炭化物（コナラ節）,0,carbonized material Jolcham oak (Quercus serrata),Jolcham oak (Quercus serrata),carbonized material,
2318,Charred Remain,炭化物(サクラ属),0,"carbonized material Cherry, plum etc (Cerasus, Prunus etc)","Cherry, plum etc (Cerasus, Prunus etc)",carbonized material,
2319,Charred Remain,炭化物(タケ亜科),0,carbonized material bamboo (Bambusoideae),bamboo (Bambusoideae),carbonized material,
2320,Charred Remain,炭化物(トウヒ属カラマツ),0,carbonized material larch (Larix sp.) spruce (Picea sp.),larch (Larix sp.) spruce (Picea sp.),carbonized material,
2323,Charred Remain,炭化物(トネリコ属),0,carbonized material Ash (Fraxinus sp.),Ash (Fraxinus sp.),carbonized material,
2326,Charred Remain,炭化物(ハンノキ亜属),0,carbonized material Japanese alder (Alnus japonica)​,Japanese alder (Alnus japonica)​,carbonized material,
2328,Charred Remain,炭化物(ブナ科),0,carbonized material Fagaceae,Fagaceae,carbonized material,
2329,Charred Remain,炭化物(マツ属),0,carbonized material pine (Pinus sp.),pine (Pinus sp.),carbonized material,
2331,Charred Remain,炭化物(マツ属複維管束亜属),0,carbonized material pine (Pinus sp.) subgen compound vascular,pine (Pinus sp.) subgen compound vascular,carbonized material,
2332,Charred Remain,炭化物(モクレン属),0,carbonized material magnolia (Magnolia sp.),magnolia (Magnolia sp.),carbonized material,
2333,Charred Remain,炭化物(モミ属),0,carbonized material fir (Abies sp.),fir (Abies sp.),carbonized material,
2334,Charred Remain,炭化物(ヤナギ属),0,carbonized material willow (Salix sp.),willow (Salix sp.),carbonized material,
2336,Charred Remain,炭化物(ヤマグワ),0,carbonized material Chinese mulberry (Morus australis syn bombycis),Chinese mulberry (Morus australis syn bombycis),carbonized material,
2338,Charred Remain,炭化物(ワラビ炭化葉柄),0,carbonized straw material,,carbonized straw material,check is this straw or bracken
2341,Charred Remain,炭化物（冬芽）,0,carbonized budmaterial,,carbonized budmaterial,
2352,Charred Remain,炭化物（材）,0,carbonized material material,,carbonized material material,
2353,Charred Remain,炭化物（材） フローテーション採集資料,0,carbonized material material flotation sample,,carbonized material material flotation sample,フローテーション採集資料 = material collected by flotation
2356,Charred Remain,炭化物(樹木片),0,carbonized wood frag material tree,,carbonized wood frag material tree,
2357,Charred Remain,炭化物(樹皮),0,carbonized bark material,,carbonized bark material,
2361,Charred Remain,炭化物（炭化材と種実遺体（ヤマグワ、オニグルミ）が混在）,0,carbonized material seed/nuts material walnut (Juglans ailanthifolia) Chinese mulberry (Morus australis syn bombycis),walnut (Juglans ailanthifolia) Chinese mulberry (Morus australis syn bombycis),carbonized material seed/nuts material,
2362,Charred Remain,炭化物（炭化材と種実遺体（広葉樹オニグルミ）が混在）,0,carbonized material seed/nuts material hardwoodwalnut (Juglans ailanthifolia),walnut (Juglans ailanthifolia),carbonized material seed/nuts material hardwood,
2372,Charred Remain,炭化物(草本･イネ科稈),0,carbonized culm material Poaceae herbaceous plants,Poaceae herbaceous plants,carbonized culm material,
2373,Charred Remain,炭化物(草本?),0,carbonized material herbaceous plants,herbaceous plants,carbonized material,
2374,Charred Remain,炭化物(草本室茎),0,carbonized stem material herbaceous plants,herbaceous plants,carbonized stem material,
2375,Charred Remain,炭化物(草本類),0,carbonized material herbaceous plants,herbaceous plants,carbonized material,
2579,Charred Remain,炭化粒,0,carbonized grain,,carbonized grain,
2580,Charred Remain,炭化紐,0,carbonized twine,,carbonized twine,
2581,Charred Remain,炭化繊維,0,carbonized textile fiber / fiborous,,carbonized textile fiber / fiborous,
2583,Charred Remain,炭化草本,0,carbonized herbaceous plants,herbaceous plants,carbonized,
2584,Charred Remain,炭化草本（イネ科）,0,carbonized Poaceae herbaceous plants,Poaceae herbaceous plants,carbonized,
2585,Charred Remain,炭化草本類,1,carbonized herbaceous plants,herbaceous plants,carbonized,
2587,Charred Remain,炭化葉(ウシクサ族),0,carbonized Schizachyrium tribe of grasses?,Schizachyrium tribe of grasses?,carbonized,
2589,Charred Remain,炭化鱗茎,1,carbonized bulb stem fruit scale,,carbonized bulb stem fruit scale,
2591,Charred Remain,炭片,0,charred pieces,,charred pieces,
2592,Charred Remain,炭片(ヤナギ属),0,charred pieces willow (Salix sp.),willow (Salix sp.),charred pieces,
2597,Charred Remain,焼土内炭化物(不明広葉樹),0,unknown carbonized material burnt soil hardwood,,unknown carbonized material burnt soil hardwood,
2853,Charred Remain,砂岩板状礫（付着炭化材）（樹種不明・樹皮）,0,unknown carbonized material bark plank sand residue,,unknown carbonized material bark plank sand residue,
2915,Charred Remain,"種実,オオムギ,",1,seed/nuts barley (Hordeum sp.),barley (Hordeum sp.),seed/nuts,
2918,Charred Remain,"種実,オニグルミ,核",1,seed/nuts walnut (Juglans ailanthifolia),walnut (Juglans ailanthifolia),seed/nuts,
2933,Charred Remain,"種実,コメ,",1,seed/nuts rice (Oryza sativa),rice (Oryza sativa),seed/nuts,
3142,Charred Remain,草本炭化物,0,carbonized material herbaceous plants,herbaceous plants,carbonized material,
3146,Charred Remain,草本質炭化物,0,carbonized material herbaceous plants,herbaceous plants,carbonized material,
3284,Charred Remain,遺構外採取炭化物 炭化材（クリ）,0,carbonized material material chestnut (Castanea crenata),chestnut (Castanea crenata),carbonized material material,
3285,Charred Remain,遺構外採取炭化物 炭化材（コナラ節）,0,carbonized material material Jolcham oak (Quercus serrata),Jolcham oak (Quercus serrata),carbonized material material,
3292,Charred Remain,銹着炭化材(モクレン属),0,carbonized material magnolia (Magnolia sp.),magnolia (Magnolia sp.),carbonized material,
NA,Charred Remain,NA,0,NA,,,
20,Charred Seed,アズキ,1,adzuki bean (Vigna angularis),adzuki bean (Vigna angularis),,
24,Charred Seed,アワ炭化胚乳,0,carbonized foxtail millet (Setaria italica),foxtail millet (Setaria italica),carbonized,
41,Charred Seed,イネ,1,rice (Oryza sativa),rice (Oryza sativa),,
44,Charred Seed,イネ炭化種子,0,carbonized seed rice (Oryza sativa),rice (Oryza sativa),carbonized seed,
45,Charred Seed,イネ炭化胚乳,0,carbonized rice (Oryza sativa),rice (Oryza sativa),carbonized,
46,Charred Seed,イネ科B炭化種子,0,carbonized seed Poaceae,Poaceae,carbonized seed,
80,Charred Seed,オニグルミ炭化核,0,carbonized walnut (Juglans ailanthifolia),walnut (Juglans ailanthifolia),carbonized,
81,Charred Seed,オニグルミ炭化核?,0,carbonized walnut (Juglans ailanthifolia),walnut (Juglans ailanthifolia),carbonized,
111,Charred Seed,キハダ,1,amur cork (Phellodendron),amur cork (Phellodendron),,
129,Charred Seed,クリ炭化子葉,0,carbonized cotyledon chestnut (Castanea crenata),chestnut (Castanea crenata),carbonized cotyledon,
134,Charred Seed,クルミ,1,walnut (Juglans),walnut (Juglans),,
138,Charred Seed,クルミ属堅果,0,nut walnut (Juglans),walnut (Juglans),nut,
141,Charred Seed,クルミ殻,1,shell walnut (Juglans),walnut (Juglans),shell,
142,Charred Seed,クルミ種子,1,seed walnut (Juglans),walnut (Juglans),seed,
150,Charred Seed,コナラ属炭化子葉,0,carbonized cotyledon oak (Quercus sp.),oak (Quercus sp.),carbonized cotyledon,
201,Charred Seed,トチノキ炭化種子,0,carbonized seed horse chestnut (Aesculus turbinata) Aesculus??,horse chestnut (Aesculus turbinata) Aesculus??,carbonized seed,
213,Charred Seed,ドングリ,1,oak (Quercus),oak (Quercus),,
217,Charred Seed,ドングリ炭化種子,0,carbonized seed oak (Quercus),oak (Quercus),carbonized seed,
259,Charred Seed,ヒエ,1,barnyard millet (Echinochloa),barnyard millet (Echinochloa),,
278,Charred Seed,ブドウ科種子,0,seed grapes (Vitaceae),grapes (Vitaceae),seed,
310,Charred Seed,ヤマブドウ種子,0,seed Yama grape (Vitis coignetiae),Yama grape (Vitis coignetiae),seed,
319,Charred Seed,不明炭化子葉,0,unknown carbonized cotyledon,,unknown carbonized cotyledon,
320,Charred Seed,不明種子,1,unknown seed,,unknown seed,
415,Charred Seed,土器付着炭化物(アサ種実),0,carbonized seed/nuts from pottery material residue hemp (Cannabis sativa),hemp (Cannabis sativa),carbonized seed/nuts from pottery material residue,
765,Charred Seed,堅果,0,nut,,nut,
770,Charred Seed,堅果（クルミ属内果皮）,0,nut endocarp pericarp walnut (Juglans),walnut (Juglans),nut endocarp pericarp,
776,Charred Seed,堅果（炭化クルミ？）,0,carbonized nut walnut (Juglans),walnut (Juglans),carbonized nut,
777,Charred Seed,堅果（炭化コナラ？）,0,carbonized nut oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata),oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata),carbonized nut,
778,Charred Seed,堅果（炭化核、1片）,0,carbonized nut,,carbonized nut,
1265,Charred Seed,木炭（炭化クルミ片）,0,charcoal carbonized walnut (Juglans),walnut (Juglans),charcoal carbonized,
1581,Charred Seed,炭,1,charcoal or charred seed?,,,
1585,Charred Seed,炭化?種実(不明種実),0,unknown carbonized seed/nuts,,unknown carbonized seed/nuts,
1586,Charred Seed,炭化イネ,1,carbonized rice (Oryza sativa),rice (Oryza sativa),carbonized,
1587,Charred Seed,炭化イネ胚乳,0,carbonized rice (Oryza sativa),rice (Oryza sativa),carbonized,
1588,Charred Seed,炭化オオムギ種子,0,carbonized seed barley (Hordeum sp.),barley (Hordeum sp.),carbonized seed,
1589,Charred Seed,炭化オニグルミ内果皮,0,carbonized endocarp pericarp walnut (Juglans ailanthifolia),walnut (Juglans ailanthifolia),carbonized endocarp pericarp,
1590,Charred Seed,炭化クリ子葉,1,carbonized cotyledon chestnut (Castanea crenata),chestnut (Castanea crenata),carbonized cotyledon,
1591,Charred Seed,炭化クルミ,0,carbonized walnut (Juglans),walnut (Juglans),carbonized,
1592,Charred Seed,炭化クルミ属内果皮,0,carbonized endocarp pericarp walnut (Juglans),walnut (Juglans),carbonized endocarp pericarp,
1593,Charred Seed,炭化クルミ属内果皮片,0,carbonized endocarp pericarp walnut (Juglans),walnut (Juglans),carbonized endocarp pericarp,
1594,Charred Seed,炭化クルミ属堅果片,0,carbonized nut walnut (Juglans),walnut (Juglans),carbonized nut,
1596,Charred Seed,炭化クルミ片,0,carbonized walnut (Juglans),walnut (Juglans),carbonized,
1597,Charred Seed,炭化コナラ属子葉,0,carbonized cotyledon oak (Quercus sp.),oak (Quercus sp.),carbonized cotyledon,
1598,Charred Seed,炭化コメ,0,carbonized rice (Oryza sativa),rice (Oryza sativa),carbonized,
1600,Charred Seed,炭化タデ科種子,0,carbonized seed knotweeds (Polygonaceae),knotweeds (Polygonaceae),carbonized seed,
1601,Charred Seed,炭化ヒエ,0,carbonized barnyard millet (Echinochloa),barnyard millet (Echinochloa),carbonized,
1602,Charred Seed,炭化ブドウ,0,carbonized grapes (Vitaceae),grapes (Vitaceae),carbonized,
1603,Charred Seed,炭化ブドウ属種子,0,carbonized seed grapes (Vitaceae),grapes (Vitaceae),carbonized seed,
1605,Charred Seed,炭化内果皮(オニグルミ),0,carbonized endocarp pericarp walnut (Juglans ailanthifolia),walnut (Juglans ailanthifolia),carbonized endocarp pericarp,
1606,Charred Seed,炭化堅果,0,carbonized nut,,carbonized nut,
1607,Charred Seed,炭化堅果(コナラ属),0,carbonized nut oak (Quercus sp.),oak (Quercus sp.),carbonized nut,
1608,Charred Seed,炭化堅果(トチノキ),0,carbonized nut horse chestnut (Aesculus turbinata) Aesculus??,horse chestnut (Aesculus turbinata) Aesculus??,carbonized nut,
1609,Charred Seed,炭化子葉(イチイガシ),0,carbonized cotyledon red bark oak (Quercus gilva),red bark oak (Quercus gilva),carbonized cotyledon,
1610,Charred Seed,炭化子葉(クヌギ近似類),0,carbonized cotyledon cork oak (Quercus variabilis) saw-tooth oak (Quercus acutissima),cork oak (Quercus variabilis) saw-tooth oak (Quercus acutissima),carbonized cotyledon,
1611,Charred Seed,炭化子葉(コナラ属),0,carbonized cotyledon oak (Quercus sp.),oak (Quercus sp.),carbonized cotyledon,
1633,Charred Seed,炭化材･ヒメグルミ核,0,carbonized material walnut (Juglans sp.) Himegurumi,walnut (Juglans sp.) Himegurumi,carbonized material,Translates as Himegurumi - Small walnut a variety of walnut
2227,Charred Seed,炭化果実,0,carbonized fruit /achenes etc,,carbonized fruit /achenes etc,
2228,Charred Seed,炭化果実(エゴマ),0,carbonized fruit /achenes etc wild perilla (Perilla frutescens var. frutescens) snowbell tree (Styrax japonica),wild perilla (Perilla frutescens var. frutescens) snowbell tree (Styrax japonica),carbonized fruit /achenes etc,
2229,Charred Seed,炭化栗,0,carbonized,,carbonized,
2230,Charred Seed,炭化核(オニグルミ),0,carbonized walnut (Juglans ailanthifolia),walnut (Juglans ailanthifolia),carbonized,
2273,Charred Seed,炭化物・種子,0,carbonized seed material,,carbonized seed material,
2274,Charred Seed,炭化物･種子(イネ),0,carbonized seed material rice (Oryza sativa),rice (Oryza sativa),carbonized seed material,
2275,Charred Seed,炭化物・種実,0,carbonized seed/nuts material,,carbonized seed/nuts material,
2276,Charred Seed,炭化物･種実(オニグルミ核),0,carbonized seed/nuts material walnut (Juglans ailanthifolia),walnut (Juglans ailanthifolia),carbonized seed/nuts material,
2277,Charred Seed,炭化物・種実（クルミ）,0,carbonized seed/nuts material walnut (Juglans),walnut (Juglans),carbonized seed/nuts material,
2278,Charred Seed,炭化物・種実（ブドウ）,0,carbonized seed/nuts material grapes (Vitaceae),grapes (Vitaceae),carbonized seed/nuts material,
2284,Charred Seed,炭化物（アズキ）,0,carbonized material adzuki bean (Vigna angularis),adzuki bean (Vigna angularis),carbonized material,
2292,Charred Seed,炭化物(オニグルミ),1,carbonized material walnut (Juglans ailanthifolia),walnut (Juglans ailanthifolia),carbonized material,
2297,Charred Seed,炭化物（キハダ種子）,0,carbonized seed material amur cork (Phellodendron),amur cork (Phellodendron),carbonized seed material,
2298,Charred Seed,炭化物（キビ）,0,carbonized material common millet (Panicum miliaceum),common millet (Panicum miliaceum),carbonized material,
2299,Charred Seed,炭化物(クリ･クルミ),0,carbonized material chestnut (Castanea crenata) walnut (Juglans),chestnut (Castanea crenata) walnut (Juglans),carbonized material,
2300,Charred Seed,炭化物(クリ？),0,carbonized material chestnut (Castanea crenata),chestnut (Castanea crenata),carbonized material,
2301,Charred Seed,炭化物(クリ),1,carbonized material chestnut (Castanea crenata),chestnut (Castanea crenata),carbonized material,
2302,Charred Seed,炭化物（クルミ？）,0,carbonized material walnut (Juglans),walnut (Juglans),carbonized material,
2303,Charred Seed,炭化物(クルミ),1,carbonized material walnut (Juglans),walnut (Juglans),carbonized material,
2304,Charred Seed,炭化物(クルミほか),0,carbonized material walnut (Juglans),walnut (Juglans),carbonized material,
2305,Charred Seed,炭化物（クルミ属）,0,carbonized material walnut (Juglans),walnut (Juglans),carbonized material,
2306,Charred Seed,炭化物（クルミ属内果皮）,0,carbonized material endocarp pericarp walnut (Juglans),walnut (Juglans),carbonized material endocarp pericarp,
2307,Charred Seed,炭化物（クルミ核片）,0,carbonized material walnut (Juglans),walnut (Juglans),carbonized material,
2308,Charred Seed,炭化物(クルミ殻),0,carbonized material shell walnut (Juglans),walnut (Juglans),carbonized material shell,
2315,Charred Seed,炭化物（コナラ属子葉）,0,carbonized cotyledon material oak (Quercus sp.),oak (Quercus sp.),carbonized cotyledon material,
2317,Charred Seed,炭化物（コムギ）,0,carbonized material wheat (Triticum),wheat (Triticum),carbonized material,
2321,Charred Seed,炭化物(トチノキ種子),0,carbonized seed material horse chestnut (Aesculus turbinata) Aesculus??,horse chestnut (Aesculus turbinata) Aesculus??,carbonized seed material,
2322,Charred Seed,炭化物(トチノキ種子他),0,carbonized seed material horse chestnut (Aesculus turbinata) Aesculus??,horse chestnut (Aesculus turbinata) Aesculus??,carbonized seed material,
2324,Charred Seed,炭化物(ドングリ),0,carbonized material oak (Quercus),oak (Quercus),carbonized material,
2327,Charred Seed,炭化物（ブドウ科）,0,carbonized material grapes (Vitaceae),grapes (Vitaceae),carbonized material,
2337,Charred Seed,炭化物(ユリ科鱗茎),0,carbonized bulb stem material fruit scale Liliaceae,Liliaceae,carbonized bulb stem material fruit scale,
2342,Charred Seed,炭化物(分類群不明果実核),0,unknown carbonized material fruit /achenes etc,,unknown carbonized material fruit /achenes etc,
2349,Charred Seed,炭化物（堅果）,0,carbonized nut material,,carbonized nut material,
2355,Charred Seed,炭化物(植物遺体),0,carbonized plant plant remains material,,carbonized plant plant remains material,
2364,Charred Seed,炭化物(炭化米),0,carbonized material rice (Oryza sativa),rice (Oryza sativa),carbonized material,
2368,Charred Seed,炭化物(種子?),0,carbonized seed material,,carbonized seed material,
2369,Charred Seed,炭化物（種子？）,0,carbonized seed material,,carbonized seed material,
2390,Charred Seed,炭化球果(マツ属複維管束亜属),0,carbonized cones pine (Pinus sp.) subgen compound vascular,pine (Pinus sp.) subgen compound vascular,carbonized cones,
2391,Charred Seed,炭化球根,0,carbonized root bulb,,carbonized root bulb,
2392,Charred Seed,炭化球根(ユリ科ネギ属),0,carbonized root bulb Liliaceae onion/garlic (Allium),Liliaceae onion/garlic (Allium),carbonized root bulb,
2394,Charred Seed,炭化種子,1,carbonized seed,,carbonized seed,
2395,Charred Seed,炭化種子 アズキ,0,carbonized seed adzuki bean (Vigna angularis),adzuki bean (Vigna angularis),carbonized seed,
2396,Charred Seed,炭化種子 オオムギ,0,carbonized seed barley (Hordeum sp.),barley (Hordeum sp.),carbonized seed,
2397,Charred Seed,炭化種子 クルミ核片,0,carbonized seed walnut (Juglans),walnut (Juglans),carbonized seed,
2398,Charred Seed,炭化種子 クルミ殻片,0,carbonized seed shell walnut (Juglans),walnut (Juglans),carbonized seed shell,
2399,Charred Seed,炭化種子 コナラ属,0,carbonized seed oak (Quercus sp.),oak (Quercus sp.),carbonized seed,
2400,Charred Seed,炭化種子?,0,carbonized seed,,carbonized seed,
2401,Charred Seed,炭化種子(アサ),0,carbonized seed hemp (Cannabis sativa),hemp (Cannabis sativa),carbonized seed,
2402,Charred Seed,炭化種子（アワまたはヒエの胚乳）,0,carbonized seed foxtail millet (Setaria italica) barnyard millet (Echinochloa),foxtail millet (Setaria italica) barnyard millet (Echinochloa),carbonized seed,
2403,Charred Seed,炭化種子(イネ･玄米),0,carbonized seed rice (Oryza sativa),rice (Oryza sativa),carbonized seed,
2404,Charred Seed,炭化種子(イネ:玄米),0,carbonized seed rice (Oryza sativa),rice (Oryza sativa),carbonized seed,
2405,Charred Seed,炭化種子(イネ),0,carbonized seed rice (Oryza sativa),rice (Oryza sativa),carbonized seed,
2406,Charred Seed,炭化種子（イネ）,0,carbonized seed rice (Oryza sativa),rice (Oryza sativa),carbonized seed,
2407,Charred Seed,炭化種子(オオムギ),0,carbonized seed barley (Hordeum sp.),barley (Hordeum sp.),carbonized seed,
2408,Charred Seed,炭化種子(オニグルミ?),0,carbonized seed walnut (Juglans ailanthifolia),walnut (Juglans ailanthifolia),carbonized seed,
2409,Charred Seed,炭化種子(オニグルミ),0,carbonized seed walnut (Juglans ailanthifolia),walnut (Juglans ailanthifolia),carbonized seed,
2410,Charred Seed,炭化種子(オニグルミ核),0,carbonized seed walnut (Juglans ailanthifolia),walnut (Juglans ailanthifolia),carbonized seed,
2411,Charred Seed,炭化種子(カキ),0,carbonized seed,,carbonized seed,
2412,Charred Seed,炭化種子（キハダ果実）,0,carbonized seed fruit /achenes etc amur cork (Phellodendron),amur cork (Phellodendron),carbonized seed fruit /achenes etc,
2413,Charred Seed,炭化種子(クヌギの実),0,carbonized seed nut/fruit saw-tooth oak (Quercus acutissima),saw-tooth oak (Quercus acutissima),carbonized seed nut/fruit,
2414,Charred Seed,炭化種子(クヌギ子葉),0,carbonized seed cotyledon saw-tooth oak (Quercus acutissima),saw-tooth oak (Quercus acutissima),carbonized seed cotyledon,
2415,Charred Seed,炭化種子(クリ),0,carbonized seed chestnut (Castanea crenata),chestnut (Castanea crenata),carbonized seed,
2416,Charred Seed,炭化種子(クルミ),0,carbonized seed walnut (Juglans),walnut (Juglans),carbonized seed,
2417,Charred Seed,炭化種子（クルミ）,0,carbonized seed walnut (Juglans),walnut (Juglans),carbonized seed,
2418,Charred Seed,炭化種子（クルミ内果皮）,0,carbonized seed endocarp pericarp walnut (Juglans),walnut (Juglans),carbonized seed endocarp pericarp,
2419,Charred Seed,炭化種子（クルミ属）,0,carbonized seed walnut (Juglans),walnut (Juglans),carbonized seed,
2420,Charred Seed,炭化種子（クルミ核）,0,carbonized seed walnut (Juglans),walnut (Juglans),carbonized seed,
2421,Charred Seed,炭化種子(クルミ類の核),0,carbonized seed walnut (Juglans),walnut (Juglans),carbonized seed,
2422,Charred Seed,炭化種子（コナラ属）,0,carbonized seed oak (Quercus sp.),oak (Quercus sp.),carbonized seed,
2423,Charred Seed,炭化種子(コナラ属子葉),0,carbonized seed cotyledon oak (Quercus sp.),oak (Quercus sp.),carbonized seed cotyledon,
2424,Charred Seed,炭化種子(コナラ属炭化子葉),0,carbonized seed cotyledon oak (Quercus sp.),oak (Quercus sp.),carbonized seed cotyledon,
2425,Charred Seed,炭化種子(コムギ),0,carbonized seed wheat (Triticum),wheat (Triticum),carbonized seed,
2426,Charred Seed,炭化種子(コムギ胚乳),0,carbonized seed wheat (Triticum),wheat (Triticum),carbonized seed,
2427,Charred Seed,炭化種子（サクラ属）,0,"carbonized seed Cherry, plum etc (Cerasus, Prunus etc)","Cherry, plum etc (Cerasus, Prunus etc)",carbonized seed,
2428,Charred Seed,炭化種子(ササゲ属アズキ亜属アズキ型),0,carbonized seed adzuki bean (Vigna angularis) Vigna bean (Vigna sp.) Vigna bean (Vigna sp.),adzuki bean (Vigna angularis),carbonized seed,
2429,Charred Seed,炭化種子(ササゲ属アズキ近似種),0,carbonized seed or similar adzuki bean (Vigna angularis) Vigna bean (Vigna sp.) Vigna bean (Vigna sp.),adzuki bean (Vigna angularis),carbonized seed or similar,
2430,Charred Seed,炭化種子(ササゲ属近似種),0,carbonized seed or similar Vigna bean (Vigna sp.) Vigna bean (Vigna sp.),Vigna bean (Vigna sp.),carbonized seed or similar,
2431,Charred Seed,炭化種子（スモモ核）,0,carbonized seed peach (Amygdalus persica syn. Prunus),peach (Amygdalus persica syn. Prunus),carbonized seed,
2432,Charred Seed,炭化種子(ソバ),0,carbonized seed buckwheat (Fagopyrum esculentum),buckwheat (Fagopyrum esculentum),carbonized seed,
2433,Charred Seed,炭化種子(トチノキ),0,carbonized seed horse chestnut (Aesculus turbinata) Aesculus??,horse chestnut (Aesculus turbinata) Aesculus??,carbonized seed,
2434,Charred Seed,炭化種子(トチノキ炭化子葉),0,carbonized seed cotyledon horse chestnut (Aesculus turbinata) Aesculus??,horse chestnut (Aesculus turbinata) Aesculus??,carbonized seed cotyledon,
2435,Charred Seed,炭化種子(トチノキ種子),0,carbonized seed horse chestnut (Aesculus turbinata) Aesculus??,horse chestnut (Aesculus turbinata) Aesculus??,carbonized seed,
2436,Charred Seed,炭化種子(ドングリ),0,carbonized seed oak (Quercus),oak (Quercus),carbonized seed,
2437,Charred Seed,炭化種子(ヒエあるいはアワ),0,carbonized seed foxtail millet (Setaria italica) barnyard millet (Echinochloa),foxtail millet (Setaria italica) barnyard millet (Echinochloa),carbonized seed,
2438,Charred Seed,炭化種子（ヒエ属）,0,carbonized seed barnyard millet (Echinochloa),barnyard millet (Echinochloa),carbonized seed,
2439,Charred Seed,炭化種子(ブドウ属),0,carbonized seed grapes (Vitaceae),grapes (Vitaceae),carbonized seed,
2440,Charred Seed,炭化種子（ブドウ科）,0,carbonized seed grapes (Vitaceae),grapes (Vitaceae),carbonized seed,
2441,Charred Seed,炭化種子(マメ類),0,carbonized seed legume (Fabaceae),legume (Fabaceae),carbonized seed,
2442,Charred Seed,炭化種子(モモ),1,carbonized seed peach (Amygdalus persica syn. Prunus),peach (Amygdalus persica syn. Prunus),carbonized seed,
2443,Charred Seed,炭化種子(モモ核),0,carbonized seed peach (Amygdalus persica syn. Prunus),peach (Amygdalus persica syn. Prunus),carbonized seed,
2444,Charred Seed,炭化種子（不明）,0,unknown carbonized seed,,unknown carbonized seed,
2445,Charred Seed,炭化種子（堅果）,0,carbonized seed nut,,carbonized seed nut,
2446,Charred Seed,炭化種子(米),0,carbonized seed rice (Oryza sativa),rice (Oryza sativa),carbonized seed,
2447,Charred Seed,炭化種子(豆),0,carbonized seed,,carbonized seed,
2448,Charred Seed,炭化種子（鱗茎(球根)）,0,carbonized seed bulb stem root bulb fruit scale,,carbonized seed bulb stem root bulb fruit scale,
2450,Charred Seed,炭化種実,1,carbonized seed/nuts,,carbonized seed/nuts,
2451,Charred Seed,炭化種実?,0,carbonized seed/nuts,,carbonized seed/nuts,
2452,Charred Seed,炭化種実(アカガシ亜属),0,carbonized seed/nuts Japanese evergreen oak (Quercus acuta),Japanese evergreen oak (Quercus acuta),carbonized seed/nuts,
2453,Charred Seed,炭化種実(アサ),0,carbonized seed/nuts hemp (Cannabis sativa),hemp (Cannabis sativa),carbonized seed/nuts,
2454,Charred Seed,炭化種実(アズキ炭化種子),0,carbonized seed seed/nuts adzuki bean (Vigna angularis),adzuki bean (Vigna angularis),carbonized seed seed/nuts,
2455,Charred Seed,炭化種実(アズキ種子),0,carbonized seed seed/nuts adzuki bean (Vigna angularis),adzuki bean (Vigna angularis),carbonized seed seed/nuts,
2456,Charred Seed,炭化種実(アズキ類種子),0,carbonized seed seed/nuts adzuki bean (Vigna angularis),adzuki bean (Vigna angularis),carbonized seed seed/nuts,
2457,Charred Seed,炭化種実(アワ),0,carbonized seed/nuts foxtail millet (Setaria italica),foxtail millet (Setaria italica),carbonized seed/nuts,
2458,Charred Seed,炭化種実（アワ果実）,0,carbonized seed/nuts fruit /achenes etc foxtail millet (Setaria italica),foxtail millet (Setaria italica),carbonized seed/nuts fruit /achenes etc,
2459,Charred Seed,炭化種実(アワ炭化種子),0,carbonized seed seed/nuts foxtail millet (Setaria italica),foxtail millet (Setaria italica),carbonized seed seed/nuts,
2460,Charred Seed,炭化種実(イチイガシ 子葉),0,carbonized seed/nuts cotyledon red bark oak (Quercus gilva),red bark oak (Quercus gilva),carbonized seed/nuts cotyledon,
2461,Charred Seed,炭化種実(イチイガシ),0,carbonized seed/nuts red bark oak (Quercus gilva),red bark oak (Quercus gilva),carbonized seed/nuts,
2462,Charred Seed,炭化種実(イチイガシ子葉),0,carbonized seed/nuts cotyledon red bark oak (Quercus gilva),red bark oak (Quercus gilva),carbonized seed/nuts cotyledon,
2463,Charred Seed,炭化種実(イチイガシ子葉片),0,carbonized seed/nuts cotyledon red bark oak (Quercus gilva),red bark oak (Quercus gilva),carbonized seed/nuts cotyledon,
2464,Charred Seed,炭化種実(イチイガシ果皮･子葉),0,carbonized seed/nuts cotyledon pericarp red bark oak (Quercus gilva),red bark oak (Quercus gilva),carbonized seed/nuts cotyledon pericarp,
2465,Charred Seed,炭化種実(イヌガヤ炭化種子),0,carbonized seed seed/nuts plum yew (Cephalotaxus harringtonia),plum yew (Cephalotaxus harringtonia),carbonized seed seed/nuts,
